pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
1.771516,-0.524348,0.885108,1.770711,-0.524629,0.976444,1.762761,-0.521856,1.075923,1.764622,-0.524980,1.167010,1.767478,-0.529107,1.257929,1.761365,-0.529081,1.384555,1.736724,-0.516246,1.476985,1.778296,-0.505851,1.329652,1.841937,-0.397532,1.300558,1.835197,-0.379516,1.040492,1.819736,-0.358321,0.826553,1.749757,-0.552278,1.328288,1.671732,-0.650860,1.299613,1.695706,-0.646593,1.039976,1.691040,-0.644278,0.824498,1.807267,-0.458364,0.885884,1.815463,-0.458974,0.497252,1.806356,-0.457093,0.090500,1.678553,-0.383737,0.016355,1.735758,-0.590336,0.884834,1.738268,-0.588246,0.496130,1.753719,-0.591211,0.089576,1.628877,-0.508136,0.019435,-0.025800,0.016111,-0.008930
1.771363,-0.523554,0.884965,1.770645,-0.523923,0.976301,1.762828,-0.521318,1.075795,1.764823,-0.524627,1.166873,1.767826,-0.528968,1.257777,1.761936,-0.529268,1.384412,1.737616,-0.516633,1.476954,1.778775,-0.505953,1.329572,1.842353,-0.397471,1.300955,1.835616,-0.378481,1.040961,1.820112,-0.356821,0.827073,1.750212,-0.552368,1.328136,1.672252,-0.650988,1.299400,1.695349,-0.646806,1.039686,1.689998,-0.644696,0.824224,1.807105,-0.457566,0.885769,1.814595,-0.458392,0.497124,1.806077,-0.457301,0.090356,1.678238,-0.383962,0.016285,1.735615,-0.589544,0.884662,1.737363,-0.587399,0.495955,1.753690,-0.590789,0.089440,1.628838,-0.507823,0.019186,-0.029853,0.014998,-0.012988
1.771209,-0.522760,0.884822,1.770580,-0.523217,0.976159,1.762894,-0.520780,1.075668,1.765024,-0.524273,1.166735,1.768175,-0.528830,1.257624,1.762506,-0.529456,1.384269,1.738507,-0.517020,1.476922,1.779254,-0.506056,1.329491,1.842769,-0.397409,1.301353,1.836035,-0.377445,1.041431,1.820489,-0.355320,0.827593,1.750667,-0.552458,1.327984,1.672772,-0.651116,1.299188,1.694993,-0.647018,1.039396,1.688955,-0.645113,0.823949,1.806942,-0.456768,0.885654,1.813727,-0.457810,0.496995,1.805798,-0.457508,0.090211,1.677922,-0.384188,0.016214,1.735472,-0.588752,0.884490,1.736459,-0.586551,0.495780,1.753660,-0.590367,0.089304,1.628799,-0.507510,0.018937,-0.033906,0.013884,-0.017047
1.771003,-0.521970,0.884700,1.770474,-0.522504,0.976037,1.762940,-0.520241,1.075561,1.765222,-0.523933,1.166617,1.768541,-0.528726,1.257488,1.763124,-0.529715,1.384141,1.739432,-0.517500,1.476903,1.779770,-0.506187,1.329418,1.843242,-0.397395,1.301743,1.836425,-0.376444,1.041900,1.820747,-0.353844,0.828122,1.751154,-0.552572,1.327833,1.673289,-0.651236,1.298965,1.694685,-0.647227,1.039101,1.687979,-0.645423,0.823673,1.806725,-0.455972,0.885546,1.812927,-0.457226,0.496876,1.805614,-0.457665,0.090080,1.677702,-0.384347,0.016159,1.735278,-0.587966,0.884352,1.735688,-0.585776,0.495639,1.753640,-0.590029,0.089199,1.628761,-0.507288,0.018729,-0.037272,0.013736,-0.019358
1.770722,-0.521192,0.884609,1.770307,-0.521785,0.975946,1.762952,-0.519709,1.075488,1.765417,-0.523626,1.166530,1.768938,-0.528695,1.257378,1.763829,-0.530115,1.384039,1.740426,-0.518152,1.476907,1.780353,-0.506380,1.329360,1.843805,-0.397462,1.302136,1.836774,-0.375500,1.042383,1.820838,-0.352408,0.828676,1.751699,-0.552740,1.327684,1.673808,-0.651359,1.298732,1.694458,-0.647484,1.038805,1.687101,-0.645606,0.823398,1.806429,-0.455186,0.885453,1.812227,-0.456623,0.496777,1.805587,-0.457736,0.089971,1.677641,-0.384394,0.016129,1.735013,-0.587197,0.884264,1.735113,-0.585089,0.495551,1.753636,-0.589827,0.089142,1.628722,-0.507217,0.018580,-0.039549,0.015053,-0.018994
1.770388,-0.520418,0.884539,1.770101,-0.521058,0.975877,1.762943,-0.519177,1.075437,1.765610,-0.523333,1.166462,1.769354,-0.528698,1.257284,1.764581,-0.530587,1.383953,1.741454,-0.518896,1.476924,1.780974,-0.506602,1.329309,1.844427,-0.397577,1.302521,1.837095,-0.374590,1.042865,1.820810,-0.350997,0.829239,1.752276,-0.552932,1.327537,1.674323,-0.651473,1.298487,1.694280,-0.647737,1.038504,1.686290,-0.645681,0.823122,1.806078,-0.454402,0.885368,1.811595,-0.456019,0.496689,1.805654,-0.457756,0.089874,1.677676,-0.384374,0.016115,1.734697,-0.586435,0.884210,1.734671,-0.584475,0.495498,1.753641,-0.589709,0.089116,1.628684,-0.507236,0.018471,-0.041140,0.017335,-0.016884
1.770013,-0.519625,0.884474,1.769881,-0.520314,0.975811,1.762931,-0.518621,1.075389,1.765803,-0.523006,1.166398,1.769763,-0.528658,1.257194,1.765310,-0.530997,1.383867,1.742441,-0.519585,1.476937,1.781583,-0.506783,1.329251,1.845064,-0.397676,1.302861,1.837398,-0.373680,1.043306,1.820689,-0.349580,0.829769,1.752844,-0.553083,1.327386,1.674822,-0.651535,1.298221,1.694105,-0.647831,1.038186,1.685521,-0.645597,0.822828,1.805690,-0.453601,0.885276,1.811005,-0.455470,0.496597,1.805718,-0.457778,0.089776,1.677710,-0.384355,0.016099,1.734336,-0.585652,0.884171,1.734304,-0.583960,0.495459,1.753649,-0.589606,0.089101,1.628649,-0.507256,0.018386,-0.042566,0.020054,-0.014059
1.769579,-0.518769,0.884407,1.769647,-0.519507,0.975744,1.762924,-0.517997,1.075341,1.766003,-0.522606,1.166332,1.770170,-0.528536,1.257100,1.766012,-0.531310,1.383774,1.743379,-0.520189,1.476937,1.782184,-0.506902,1.329178,1.845743,-0.397754,1.303144,1.837689,-0.372749,1.043697,1.820451,-0.348129,0.830263,1.753405,-0.553174,1.327219,1.675308,-0.651521,1.297903,1.693924,-0.647708,1.037821,1.684793,-0.645332,0.822487,1.805251,-0.452742,0.885167,1.810452,-0.455003,0.496489,1.805749,-0.457822,0.089665,1.677713,-0.384358,0.016071,1.733908,-0.584800,0.884149,1.734010,-0.583588,0.495436,1.753654,-0.589500,0.089096,1.628619,-0.507249,0.018327,-0.044541,0.023920,-0.009959
1.769105,-0.517895,0.884346,1.769400,-0.518681,0.975682,1.762915,-0.517348,1.075297,1.766202,-0.522173,1.166269,1.770571,-0.528369,1.257010,1.766690,-0.531562,1.383683,1.744276,-0.520737,1.476933,1.782775,-0.506980,1.329098,1.846438,-0.397817,1.303383,1.837963,-0.371817,1.044047,1.820119,-0.346673,0.830724,1.753957,-0.553224,1.327048,1.675778,-0.651455,1.297563,1.693745,-0.647426,1.037438,1.684106,-0.644909,0.822128,1.804774,-0.451866,0.885052,1.809941,-0.454592,0.496377,1.805778,-0.457867,0.089551,1.677715,-0.384361,0.016041,1.733436,-0.583927,0.884142,1.733790,-0.583315,0.495427,1.753661,-0.589408,0.089102,1.628593,-0.507244,0.018293,-0.046352,0.028223,-0.005146
1.768656,-0.517111,0.884289,1.769168,-0.517960,0.975624,1.762901,-0.516782,1.075255,1.766378,-0.521787,1.166210,1.770927,-0.528198,1.256928,1.767291,-0.531723,1.383600,1.745076,-0.521170,1.476930,1.783293,-0.507001,1.329022,1.847034,-0.397820,1.303577,1.838217,-0.370911,1.044344,1.819784,-0.345267,0.831130,1.754447,-0.553225,1.326906,1.676205,-0.651365,1.297281,1.693555,-0.647004,1.037120,1.683437,-0.644343,0.821833,1.804317,-0.451078,0.884956,1.809463,-0.454207,0.496284,1.805803,-0.457907,0.089458,1.677714,-0.384363,0.016022,1.732996,-0.583149,0.884126,1.733585,-0.583036,0.495410,1.753680,-0.589312,0.089099,1.628569,-0.507237,0.018263,-0.046380,0.030310,-0.002335
