Time,Event Code,Notes
12.456381797790527,1,1
14.832339525222778,5,7
17.358125686645508,5,5
19.857989072799683,5,7
22.33187770843506,5,5
24.829581022262573,5,5
25.33405351638794,3
27.328454971313477,5,8
29.85447645187378,5,8
30.399957418441772,3
32.334131479263306,5,8
33.233989238739014,3
34.84377670288086,5,6
37.33440923690796,5,0
39.82965421676636,5,7
42.32866621017456,5,0
44.83327555656433,5,0
45.32995128631592,3
47.331342697143555,5,7
49.82442855834961,5,7
50.35938835144043,3
52.32860708236694,5,0
54.83800649642944,5,5
57.33613348007202,5,3
59.83053803443909,5,4
62.33220934867859,5,1
64.83632946014404,5,1
65.49140739440918,3
67.33479285240173,5,5
69.82716417312622,5,5
70.33697462081909,3
72.32736468315125,5,4
74.83717083930969,5,5
77.32453203201294,5,5
77.86377501487732,3
79.83985495567322,5,7
82.329909324646,5,7
82.9906861782074,3
84.84174370765686,5,0
87.32926440238953,5,6
89.21330308914185,2,1
105.8924515247345,1,2
108.32678413391113,5,1
110.83424615859985,5,1
113.33345198631287,5,2
115.86093616485596,5,0
118.32454562187195,5,3
120.8410234451294,5,0
121.92667961120605,3
123.33239483833313,5,4
125.8275351524353,5,6
128.32759952545166,5,0
130.82426381111145,5,6
131.95835852622986,3
133.3271713256836,5,2
135.83373880386353,5,1
138.33893489837646,5,6
140.83968710899353,5,5
143.33644556999207,5,7
145.83620619773865,5,4
148.34119176864624,5,5
149.3917441368103,4
150.8390293121338,5,4
152.28202986717224,3
153.33795595169067,5,5
155.82543396949768,5,4
158.33607959747314,5,5
160.83529710769653,5,4
161.4966278076172,3
163.33977222442627,5,7
165.84218525886536,5,4
167.5252013206482,3
168.33911657333374,5,7
169.21904873847961,3
170.82960844039917,5,1
173.33488750457764,5,4
175.83138179779053,5,1
176.64133381843567,3
178.33054494857788,5,9
180.8316547870636,5,6
182.71056604385376,2,2
210.75585961341858,1,3
213.33973503112793,5,1
215.8314094543457,5,5
218.33338451385498,5,1
220.84281468391418,5,4
223.33377623558044,5,5
224.90750336647034,3
225.8285675048828,5,8
228.33257293701172,5,3
230.82865691184998,5,6
233.33950281143188,5,8
235.8429524898529,5,8
238.32732558250427,5,9
240.83773827552795,5,4
243.33731412887573,5,8
244.03598761558533,3
245.8305983543396,5,2
248.33224177360535,5,4
250.84241223335266,5,5
253.33178877830505,5,6
255.8240225315094,5,4
257.5263788700104,3
258.3425703048706,5,4
260.84161615371704,5,2
263.34152698516846,5,4
263.9067049026489,3
265.82600831985474,5,2
268.3400368690491,5,5
270.8438947200775,5,0
273.3409492969513,5,0
275.84028673171997,5,5
277.3095533847809,3
278.3350064754486,5,1
280.8357093334198,5,4
283.3391661643982,5,5
285.8277943134308,5,1
286.9623920917511,3
287.7035207748413,2,3
