Time,Event Code,Notes
25.82432770729065,1,1
28.37210249900818,5,4
30.891649961471558,5,9
33.37109351158142,5,9
34.01174807548523,3
35.866897106170654,5,0
38.39463186264038,5,5
40.886303424835205,5,7
43.36607265472412,5,9
45.87220907211304,5,9
46.492801666259766,3
48.36520600318909,5,2
50.89610695838928,5,2
51.67730474472046,3
53.38502788543701,5,5
55.88243007659912,5,6
58.372557163238525,5,2
60.86927819252014,5,2
61.550792932510376,3
63.40041995048523,5,2
64.14837908744812,3
65.86686086654663,5,0
68.39696741104126,5,8
70.91909551620483,5,0
73.37171125411987,5,4
75.8741044998169,5,4
76.57834506034851,3
78.36516118049622,5,1
80.87198758125305,5,9
83.39258885383606,5,0
85.86521792411804,5,9
88.36811423301697,5,5
90.89986944198608,5,5
91.70673871040344,3
93.3701400756836,5,0
95.86870265007019,5,7
98.36785006523132,5,0
100.86962246894836,5,0
101.65197968482971,3
102.76017093658447,2,1
118.39713907241821,1,2
120.88136625289917,5,0
123.37122201919556,5,0
125.86674857139587,5,4
128.40229201316833,5,9
130.86516523361206,5,5
133.36856746673584,5,2
135.87273049354553,5,6
138.39219045639038,5,5
139.89913320541382,4
140.87178540229797,5,6
142.3700098991394,3
143.37233662605286,5,8
145.86945366859436,5,7
148.36530184745789,5,0
150.86539673805237,5,0
153.37348294258118,5,0
154.48887038230896,3
155.90268445014954,5,1
158.39732670783997,5,7
160.8713641166687,5,2
163.37358260154724,5,7
163.8678069114685,3
165.86527013778687,5,0
167.4978063106537,4
168.36671495437622,5,5
170.89633011817932,5,5
173.39071679115295,5,0
175.21717047691345,4
175.87012362480164,5,6
178.36748719215393,5,6
180.86751222610474,5,6
181.56140732765198,3
183.37276935577393,5,3
185.87416887283325,5,8
188.36636996269226,5,0
190.87200021743774,5,0
193.37070441246033,5,0
194.09257054328918,3
195.2407054901123,2,2
222.96724939346313,1,3
225.36654782295227,5,1
227.88073086738586,5,5
230.37019681930542,5,2
232.87009692192078,5,7
235.37785029411316,5,5
236.7078230381012,3
237.8738579750061,5,2
240.36949014663696,5,4
240.75420713424683,4
242.87582302093506,5,5
244.39449548721313,3
245.37158012390137,5,4
247.87501788139343,5,7
250.3827884197235,5,9
250.39237666130066,4
252.8722002506256,5,4
253.82052779197693,3
255.3696038722992,5,0
257.87886023521423,5,3
259.1305594444275,4
260.3766076564789,5,4
262.87947130203247,5,5
263.6196982860565,4
265.3761444091797,5,2
266.94466257095337,4
267.8650815486908,5,2
270.373676776886,5,3
271.37296509742737,4
272.8787109851837,5,2
273.665824174881,3
275.37356424331665,5,1
277.87240767478943,5,3
280.3704569339752,5,3
281.0171227455139,4
282.8653869628906,5,9
283.46720004081726,4
285.37851881980896,5,5
287.8714642524719,5,7
288.86850023269653,4
290.38492226600647,5,0
291.89995312690735,4
292.8773150444031,5,5
295.3774034976959,5,5
296.9235498905182,4
297.8734471797943,5,6
299.7560875415802,2,3
