Time,Event Code,Notes
15.141716480255127,1,1
17.57539176940918,5,7
20.080085277557373,5,4
22.582184076309204,5,4
23.301451683044434,3
25.07974672317505,5,3
27.58638095855713,5,4
30.083561658859253,5,5
32.587218046188354,5,5
33.08247518539429,3
35.08639478683472,5,0
37.590221643447876,5,1
40.08646488189697,5,2
42.582327127456665,5,2
43.23316311836243,3
45.08409309387207,5,0
47.583648443222046,5,6
50.0761501789093,5,6
50.58491063117981,3
52.577330112457275,5,2
55.09461331367493,5,0
57.58789849281311,5,0
58.14634943008423,3
60.06972575187683,5,2
62.578619718551636,5,2
62.94671130180359,3
65.0820677280426,5,0
67.57782769203186,5,3
70.08304357528687,5,3
70.67798805236816,3
72.587881565094,5,0
75.08018922805786,5,8
77.58488774299622,5,7
80.07309532165527,5,7
80.6635103225708,3
82.58203649520874,5,2
85.08485293388367,5,5
87.58589243888855,5,4
90.08039593696594,5,4
90.68109679222107,3
91.98551106452942,2,1
108.06161904335022,1,2
110.5856420993805,5,6
113.0733015537262,5,6
115.57987093925476,5,4
118.0895164012909,5,6
118.6446692943573,3
120.57615160942078,5,1
123.08090543746948,5,3
125.60559177398682,5,9
128.10650968551636,5,8
130.57906699180603,5,9
131.06110954284668,3
133.07950139045715,5,0
135.58227705955505,5,6
138.07614827156067,5,5
140.5930459499359,5,8
143.09149479866028,5,5
144.02514362335205,3
145.58644223213196,5,6
148.07162141799927,5,1
150.58308744430542,5,6
151.31531524658203,3
153.0874855518341,5,5
155.5853786468506,5,8
158.08544731140137,5,7
160.5849871635437,5,1
163.0898449420929,5,7
163.74396133422852,3
165.5833101272583,5,7
168.07484889030457,5,7
168.9004521369934,3
170.58854389190674,5,1
173.08975744247437,5,0
175.59023547172546,5,4
178.08082914352417,5,2
180.58663535118103,5,4
181.93156576156616,3
183.0817642211914,5,7
184.9793736934662,2,2
201.75460362434387,1,3
204.08744883537292,5,5
206.59006428718567,5,9
209.08511233329773,5,8
211.56897449493408,5,6
214.06912183761597,5,9
215.93184971809387,3
216.5785038471222,5,8
218.07403898239136,3
219.090430021286,5,8
221.56908750534058,5,9
222.59089970588684,3
224.08537888526917,5,3
226.58766984939575,5,0
229.09722447395325,5,5
231.59519147872925,5,3
232.21825742721558,3
234.07481718063354,5,6
236.5814332962036,5,5
239.08497071266174,5,1
241.5815179347992,5,1
244.06798362731934,5,5
246.59210085868835,5,1
247.77718687057495,3
249.0688784122467,5,2
251.5884711742401,5,7
254.08882093429565,5,9
256.5920219421387,5,5
259.0801248550415,5,7
259.91037702560425,3
261.5879340171814,5,1
264.09939789772034,5,2
266.569194316864,5,6
269.09202241897583,5,5
271.61050629615784,5,7
274.0690658092499,5,6
274.90227723121643,3
276.58604645729065,5,3
278.4697678089142,2,3
