Time,Event Code,Notes
15.174115657806396,1,1
17.63213539123535,5,0
20.143470764160156,5,0
20.929121732711792,3
22.647977352142334,5,6
25.15094494819641,5,6
25.963556051254272,3
27.618547439575195,5,8
30.113266468048096,5,3
32.61328673362732,5,3
33.39739227294922,3
35.11707329750061,5,8
37.61618638038635,5,4
40.11136221885681,5,4
40.73332142829895,3
42.61521506309509,5,1
45.112799882888794,5,7
47.61580681800842,5,7
48.28231143951416,3
50.12431001663208,5,8
52.612876415252686,5,5
55.112014055252075,5,6
57.617921352386475,5,6
58.32623600959778,3
60.15119981765747,5,6
61.337721824645996,3
62.61461353302002,5,9
65.11703062057495,5,3
67.61397004127502,5,3
68.32647705078125,3
70.1168315410614,5,6
72.61638307571411,5,2
75.1518714427948,5,3
77.61466431617737,5,3
78.20630359649658,3
80.1125795841217,5,6
82.61754822731018,5,9
85.11506533622742,5,3
87.62163066864014,5,3
90.1188473701477,5,6
91.99258852005005,2,1
107.3997449874878,1,2
110.0243558883667,5,5
112.64523768424988,5,1
115.120285987854,5,0
117.61267924308777,5,4
120.12088370323181,5,7
122.61788940429688,5,4
123.64523577690125,3
125.11813402175903,5,7
125.80054783821106,3
127.61633229255676,5,9
130.1125226020813,5,2
132.61460423469543,5,7
135.157958984375,5,2
136.2137713432312,3
137.6145269870758,5,4
140.11438083648682,5,4
142.61642217636108,5,9
145.11569118499756,5,0
147.6119463443756,5,9
148.40460681915283,3
150.11758255958557,5,0
150.72194266319275,3
152.6172857284546,5,6
155.1222083568573,5,3
157.61589431762695,5,6
158.27534246444702,3
160.1500985622406,5,1
162.61272835731506,5,6
163.31277537345886,3
165.12001276016235,5,6
167.61762118339539,5,6
168.28071284294128,3
170.112530708313,5,9
172.6275544166565,5,2
175.11461424827576,5,9
175.96589350700378,3
177.62314748764038,5,6
180.11219334602356,5,9
180.8580002784729,3
182.62638187408447,5,1
184.51705288887024,2,2
197.60005021095276,1,3
200.1120684146881,5,3
202.6121962070465,5,2
205.1199984550476,5,6
207.62412571907043,5,7
210.1180944442749,5,2
211.86460709571838,3
212.62274885177612,5,6
213.93388628959656,3
215.12313175201416,5,9
217.62328672409058,5,1
220.12068104743958,5,4
222.618022441864,5,8
225.11571288108826,5,1
226.2522909641266,3
227.6173598766327,5,3
230.14600372314453,5,9
232.61897134780884,5,8
235.1123559474945,5,9
237.62357592582703,5,9
238.65288972854614,3
240.1267774105072,5,9
242.61613965034485,5,9
243.49114203453064,3
245.12401843070984,5,0
247.62497687339783,5,9
248.72166872024536,3
250.12248277664185,5,3
252.6203691959381,5,0
254.05322074890137,3
255.12199354171753,5,2
257.62869477272034,5,3
259.3702344894409,3
260.113440990448,5,8
262.63320803642273,5,2
265.12359714508057,5,3
266.7810027599335,3
267.62695384025574,5,9
270.1238510608673,5,7
272.6247978210449,5,2
274.5211880207062,2,3
