pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
-5.822235,6.903757,0.878719,-5.822219,6.902470,0.964712,-5.817806,6.899436,1.057357,-5.824144,6.900756,1.141870,-5.832541,6.902990,1.226089,-5.835055,6.902121,1.343892,-5.816510,6.894823,1.428254,-5.844191,6.878773,1.291649,-5.890962,6.764629,1.269023,-5.883784,6.754778,1.004899,-5.868676,6.723698,0.798391,-5.823520,6.926000,1.292440,-5.767821,7.036474,1.271980,-5.743458,7.036051,1.008702,-5.715098,7.039170,0.801277,-5.845618,6.836307,0.878409,-5.876526,6.839352,0.515919,-5.915559,6.844811,0.090819,-5.770285,6.801617,0.016804,-5.798852,6.971187,0.880394,-5.828818,6.984773,0.518065,-5.875757,7.001850,0.094073,-5.727814,6.964561,0.022164,-0.024434,0.008232,-0.011660
-5.822357,6.903989,0.878508,-5.822348,6.902737,0.964501,-5.817938,6.899740,1.057147,-5.824281,6.901086,1.141660,-5.832683,6.903342,1.225878,-5.835197,6.902515,1.343681,-5.816560,6.895285,1.428028,-5.844299,6.879147,1.291487,-5.890923,6.764935,1.268908,-5.883688,6.755146,1.004784,-5.868515,6.723400,0.798394,-5.823691,6.926399,1.292260,-5.768173,7.036961,1.271788,-5.743839,7.036629,1.008507,-5.715560,7.040127,0.801081,-5.845711,6.836530,0.878221,-5.876553,6.839344,0.515724,-5.915522,6.844723,0.090616,-5.770266,6.801557,0.016650,-5.799004,6.971430,0.880157,-5.828676,6.984956,0.517802,-5.875574,7.001780,0.093795,-5.727625,6.964487,0.021901,-0.022822,0.008052,-0.011455
-5.822487,6.904232,0.878285,-5.822483,6.903015,0.964279,-5.818076,6.900059,1.056926,-5.824425,6.901430,1.141438,-5.832833,6.903710,1.225655,-5.835349,6.902926,1.343458,-5.816615,6.895769,1.427789,-5.844415,6.879538,1.291317,-5.890885,6.765257,1.268787,-5.883591,6.755534,1.004662,-5.868350,6.723084,0.798397,-5.823871,6.926817,1.292072,-5.768542,7.037470,1.271588,-5.744236,7.037233,1.008304,-5.716047,7.041132,0.800876,-5.845810,6.836762,0.878024,-5.876583,6.839337,0.515517,-5.915483,6.844630,0.090401,-5.770246,6.801493,0.016488,-5.799164,6.971684,0.879908,-5.828531,6.985147,0.517525,-5.875379,7.001706,0.093503,-5.727424,6.964409,0.021623,-0.021147,0.007855,-0.011253
-5.822621,6.904483,0.878055,-5.822623,6.903301,0.964050,-5.818219,6.900386,1.056698,-5.824573,6.901785,1.141209,-5.832988,6.904088,1.225424,-5.835508,6.903350,1.343228,-5.816674,6.896268,1.427542,-5.844536,6.879941,1.291142,-5.890848,6.765589,1.268660,-5.883492,6.755933,1.004536,-5.868182,6.722754,0.798400,-5.824058,6.927247,1.291878,-5.768922,7.037994,1.271381,-5.744644,7.037856,1.008095,-5.716549,7.042171,0.800666,-5.845913,6.837002,0.877819,-5.876615,6.839330,0.515304,-5.915442,6.844533,0.090179,-5.770225,6.801426,0.016319,-5.799328,6.971945,0.879650,-5.828382,6.985341,0.517239,-5.875177,7.001629,0.093200,-5.727216,6.964327,0.021335,-0.019431,0.007649,-0.011052
-5.822757,6.904737,0.877821,-5.822764,6.903592,0.963816,-5.818363,6.900718,1.056466,-5.824724,6.902145,1.140976,-5.833145,6.904472,1.225190,-5.835669,6.903779,1.342994,-5.816734,6.896775,1.427292,-5.844660,6.880349,1.290965,-5.890811,6.765926,1.268532,-5.883392,6.756340,1.004407,-5.868013,6.722418,0.798403,-5.824249,6.927684,1.291681,-5.769308,7.038525,1.271172,-5.745058,7.038487,1.007884,-5.717059,7.043227,0.800452,-5.846019,6.837246,0.877611,-5.876649,6.839324,0.515087,-5.915400,6.844435,0.089954,-5.770203,6.801359,0.016148,-5.799495,6.972210,0.879389,-5.828232,6.985538,0.516949,-5.874971,7.001551,0.092892,-5.727004,6.964244,0.021041,-0.017695,0.007437,-0.010853
-5.822893,6.904991,0.877588,-5.822905,6.903882,0.963583,-5.818507,6.901050,1.056234,-5.824874,6.902504,1.140743,-5.833303,6.904856,1.224956,-5.835831,6.904209,1.342760,-5.816794,6.897282,1.427041,-5.844783,6.880758,1.290787,-5.890774,6.766262,1.268404,-5.883293,6.756746,1.004278,-5.867843,6.722081,0.798405,-5.824439,6.928120,1.291484,-5.769694,7.039056,1.270963,-5.745472,7.039118,1.007672,-5.717570,7.044282,0.800238,-5.846124,6.837489,0.877403,-5.876682,6.839318,0.514871,-5.915358,6.844337,0.089728,-5.770182,6.801291,0.015977,-5.799661,6.972475,0.879127,-5.828081,6.985736,0.516659,-5.874765,7.001472,0.092584,-5.726792,6.964161,0.020748,-0.015958,0.007225,-0.010654
-5.823027,6.905241,0.877358,-5.823045,6.904168,0.963353,-5.818650,6.901378,1.056006,-5.825023,6.902859,1.140514,-5.833458,6.905234,1.224725,-5.835989,6.904632,1.342529,-5.816852,6.897781,1.426794,-5.844904,6.881161,1.290612,-5.890737,6.766594,1.268277,-5.883194,6.757145,1.004152,-5.867675,6.721752,0.798408,-5.824626,6.928550,1.291290,-5.770074,7.039579,1.270756,-5.745880,7.039740,1.007463,-5.718072,7.045321,0.800028,-5.846228,6.837729,0.877199,-5.876715,6.839311,0.514657,-5.915317,6.844240,0.089506,-5.770161,6.801225,0.015809,-5.799826,6.972736,0.878870,-5.827933,6.985930,0.516373,-5.874563,7.001395,0.092281,-5.726584,6.964079,0.020460,-0.014243,0.007019,-0.010454
-5.823156,6.905484,0.877135,-5.823180,6.904447,0.963131,-5.818788,6.901696,1.055785,-5.825166,6.903204,1.140292,-5.833607,6.905602,1.224502,-5.836141,6.905044,1.342307,-5.816907,6.898266,1.426556,-5.845020,6.881552,1.290443,-5.890699,6.766916,1.268156,-5.883096,6.757533,1.004030,-5.867510,6.721435,0.798411,-5.824806,6.928968,1.291102,-5.770443,7.040088,1.270555,-5.746277,7.040345,1.007260,-5.718558,7.046327,0.799823,-5.846327,6.837962,0.877001,-5.876745,6.839304,0.514451,-5.915278,6.844147,0.089291,-5.770141,6.801161,0.015646,-5.799985,6.972990,0.878621,-5.827787,6.986120,0.516097,-5.874368,7.001322,0.091988,-5.726384,6.964000,0.020182,-0.012568,0.006822,-0.010252
-5.823279,6.905717,0.876924,-5.823309,6.904713,0.962920,-5.818920,6.902001,1.055576,-5.825303,6.903534,1.140082,-5.833749,6.905954,1.224291,-5.836283,6.905437,1.342095,-5.816957,6.898727,1.426329,-5.845128,6.881926,1.290281,-5.890660,6.767223,1.268041,-5.883001,6.757901,1.003914,-5.867349,6.721137,0.798414,-5.824977,6.929367,1.290922,-5.770796,7.040575,1.270363,-5.746659,7.040922,1.007066,-5.719021,7.047283,0.799627,-5.846420,6.838184,0.876813,-5.876771,6.839295,0.514255,-5.915242,6.844059,0.089088,-5.770122,6.801100,0.015493,-5.800138,6.973233,0.878384,-5.827645,6.986304,0.515833,-5.874185,7.001252,0.091710,-5.726195,6.963926,0.019918,-0.010956,0.006642,-0.010046
-5.823393,6.905935,0.876727,-5.823430,6.904964,0.962724,-5.819044,6.902288,1.055381,-5.825431,6.903844,1.139886,-5.833880,6.906285,1.224094,-5.836413,6.905806,1.341899,-5.817001,6.899159,1.426118,-5.845227,6.882276,1.290130,-5.890619,6.767510,1.267935,-5.882908,6.758244,1.003808,-5.867194,6.720865,0.798417,-5.825134,6.929742,1.290754,-5.771125,7.041032,1.270183,-5.747018,7.041464,1.006883,-5.719452,7.048174,0.799444,-5.846505,6.838392,0.876639,-5.876793,6.839286,0.514073,-5.915209,6.843978,0.088899,-5.770104,6.801045,0.015351,-5.800280,6.973462,0.878163,-5.827510,6.986478,0.515588,-5.874018,7.001188,0.091452,-5.726021,6.963858,0.019675,-0.009426,0.006482,-0.009837
