pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
6.798590,5.807762,0.876930,6.799917,5.809350,0.962907,6.795533,5.806474,1.055558,6.798878,5.810713,1.140147,6.802972,5.815866,1.224557,6.800139,5.815850,1.342356,6.778167,5.787729,1.421353,6.784394,5.835234,1.290348,6.704071,5.929118,1.268901,6.690751,5.915703,1.005175,6.643993,5.932227,0.801756,6.818332,5.796437,1.291159,6.895928,5.700359,1.269389,6.880801,5.674967,1.006644,6.878822,5.628246,0.802556,6.750234,5.860276,0.877397,6.748930,5.879064,0.514059,6.759588,5.917875,0.089032,6.647647,5.814711,0.016403,6.846967,5.755273,0.877816,6.859528,5.764288,0.514319,6.891396,5.787117,0.089194,6.801337,5.663839,0.017498,-0.012709,0.003009,-0.000216
6.799025,5.808881,0.876923,6.800353,5.810480,0.962900,6.795984,5.807613,1.055552,6.799342,5.811865,1.140139,6.803452,5.817033,1.224547,6.800653,5.817031,1.342346,6.778756,5.789028,1.421395,6.784878,5.836395,1.290341,6.704476,5.930210,1.268908,6.691236,5.916749,1.005182,6.644483,5.933214,0.801757,6.818844,5.797625,1.291147,6.896508,5.701606,1.269373,6.881405,5.676242,1.006624,6.879551,5.629568,0.802527,6.750629,5.861355,0.877385,6.749347,5.880091,0.514044,6.760030,5.918789,0.089009,6.648166,5.815550,0.016385,6.847442,5.756432,0.877814,6.860041,5.765376,0.514317,6.891864,5.788160,0.089187,6.802023,5.664737,0.017506,-0.012519,0.003024,-0.000213
6.799465,5.810012,0.876915,6.800793,5.811623,0.962892,6.796440,5.808764,1.055545,6.799811,5.813030,1.140131,6.803937,5.818212,1.224537,6.801172,5.818225,1.342337,6.779352,5.790342,1.421437,6.785367,5.837570,1.290334,6.704886,5.931315,1.268914,6.691726,5.917806,1.005188,6.644978,5.934213,0.801758,6.819362,5.798826,1.291134,6.897095,5.702867,1.269356,6.882016,5.677531,1.006603,6.880288,5.630905,0.802498,6.751028,5.862446,0.877373,6.749770,5.881129,0.514030,6.760476,5.919713,0.088986,6.648691,5.816397,0.016367,6.847923,5.757603,0.877812,6.860560,5.766476,0.514314,6.892337,5.789215,0.089179,6.802717,5.665645,0.017514,-0.012327,0.003039,-0.000209
6.799910,5.811156,0.876908,6.801239,5.812778,0.962885,6.796900,5.809928,1.055538,6.800284,5.814208,1.140123,6.804428,5.819405,1.224527,6.801696,5.819432,1.342327,6.779954,5.791671,1.421480,6.785862,5.838757,1.290326,6.705300,5.932432,1.268921,6.692221,5.918875,1.005194,6.645479,5.935223,0.801759,6.819885,5.800040,1.291122,6.897687,5.704142,1.269340,6.882633,5.678835,1.006583,6.881033,5.632257,0.802468,6.751431,5.863549,0.877361,6.750197,5.882179,0.514015,6.760927,5.920648,0.088963,6.649221,5.817255,0.016348,6.848409,5.758788,0.877809,6.861084,5.767588,0.514312,6.892815,5.790281,0.089171,6.803419,5.666562,0.017522,-0.012134,0.003055,-0.000206
6.800359,5.812311,0.876900,6.801688,5.813945,0.962877,6.797366,5.811104,1.055531,6.800763,5.815398,1.140115,6.804923,5.820610,1.224517,6.802226,5.820652,1.342317,6.780562,5.793013,1.421524,6.786361,5.839957,1.290319,6.705718,5.933560,1.268928,6.692721,5.919956,1.005201,6.645984,5.936243,0.801760,6.820414,5.801267,1.291109,6.898286,5.705430,1.269323,6.883257,5.680152,1.006562,6.881786,5.633623,0.802439,6.751839,5.864664,0.877348,6.750628,5.883240,0.514000,6.761383,5.921592,0.088939,6.649756,5.818121,0.016330,6.848899,5.759984,0.877807,6.861613,5.768712,0.514310,6.893298,5.791358,0.089163,6.804128,5.667489,0.017530,-0.011938,0.003071,-0.000202
6.800812,5.813478,0.876893,6.802142,5.815124,0.962869,6.797835,5.812292,1.055524,6.801246,5.816600,1.140106,6.805424,5.821827,1.224506,6.802761,5.821883,1.342307,6.781176,5.794368,1.421567,6.786865,5.841168,1.290311,6.706140,5.934700,1.268934,6.693226,5.921046,1.005207,6.646495,5.937273,0.801761,6.820947,5.802506,1.291096,6.898890,5.706730,1.269305,6.883887,5.681482,1.006540,6.882546,5.635003,0.802409,6.752250,5.865789,0.877336,6.751063,5.884311,0.513985,6.761843,5.922546,0.088915,6.650297,5.818995,0.016311,6.849395,5.761192,0.877804,6.862148,5.769847,0.514308,6.893785,5.792446,0.089156,6.804844,5.668425,0.017538,-0.011741,0.003088,-0.000199
6.801269,5.814656,0.876885,6.802600,5.816313,0.962861,6.798309,5.813490,1.055517,6.801733,5.817813,1.140098,6.805928,5.823055,1.224496,6.803300,5.823126,1.342297,6.781795,5.795736,1.421611,6.787374,5.842391,1.290304,6.706566,5.935849,1.268941,6.693736,5.922147,1.005213,6.647010,5.938313,0.801762,6.821486,5.803756,1.291083,6.899499,5.708043,1.269288,6.884522,5.682824,1.006519,6.883312,5.636395,0.802378,6.752665,5.866925,0.877323,6.751503,5.885393,0.513970,6.762308,5.923508,0.088891,6.650843,5.819878,0.016292,6.849895,5.762412,0.877802,6.862687,5.770992,0.514306,6.894277,5.793544,0.089148,6.805567,5.669370,0.017546,-0.011543,0.003105,-0.000195
6.801731,5.815844,0.876878,6.803062,5.817513,0.962853,6.798787,5.814699,1.055510,6.802225,5.819036,1.140089,6.806437,5.824293,1.224485,6.803845,5.824380,1.342287,6.782420,5.797115,1.421656,6.787887,5.843624,1.290296,6.706995,5.937010,1.268948,6.694251,5.923258,1.005220,6.647530,5.939361,0.801762,6.822029,5.805017,1.291070,6.900114,5.709367,1.269271,6.885162,5.684178,1.006497,6.884086,5.637800,0.802348,6.753084,5.868071,0.877310,6.751946,5.886484,0.513955,6.762777,5.924479,0.088867,6.651394,5.820768,0.016273,6.850399,5.763642,0.877799,6.863231,5.772148,0.514303,6.894774,5.794651,0.089140,6.806296,5.670324,0.017554,-0.011343,0.003122,-0.000192
6.802196,5.817042,0.876870,6.803528,5.818723,0.962845,6.799269,5.815919,1.055503,6.802721,5.820270,1.140081,6.806950,5.825543,1.224475,6.804393,5.825644,1.342277,6.783050,5.798506,1.421701,6.788404,5.844868,1.290289,6.707428,5.938179,1.268955,6.694769,5.924378,1.005226,6.648054,5.940419,0.801763,6.822576,5.806289,1.291057,6.900734,5.710702,1.269253,6.885808,5.685544,1.006475,6.884866,5.639216,0.802317,6.753506,5.869227,0.877297,6.752393,5.887584,0.513939,6.763249,5.925458,0.088843,6.651950,5.821666,0.016254,6.850907,5.764883,0.877796,6.863780,5.773313,0.514301,6.895275,5.795768,0.089132,6.807031,5.671285,0.017562,-0.011142,0.003140,-0.000188
6.802665,5.818249,0.876862,6.803997,5.819943,0.962837,6.799755,5.817148,1.055496,6.803220,5.821514,1.140072,6.807468,5.826802,1.224464,6.804946,5.826918,1.342266,6.783684,5.799909,1.421746,6.788925,5.846121,1.290281,6.707865,5.939358,1.268962,6.695291,5.925507,1.005233,6.648583,5.941485,0.801764,6.823128,5.807571,1.291043,6.901358,5.712047,1.269235,6.886459,5.686920,1.006453,6.885652,5.640644,0.802285,6.753931,5.870392,0.877285,6.752843,5.888693,0.513924,6.763725,5.926445,0.088818,6.652509,5.822571,0.016234,6.851419,5.766133,0.877794,6.864333,5.774487,0.514299,6.895779,5.796894,0.089124,6.807772,5.672254,0.017571,-0.010939,0.003158,-0.000184
