pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
-8.954513,8.499813,0.933457,-8.955962,8.501251,1.031766,-8.954487,8.494882,1.139734,-8.960138,8.498289,1.238273,-8.967222,8.502512,1.336578,-8.970967,8.497299,1.481944,-8.956209,8.477885,1.573470,-8.999292,8.479269,1.416609,-9.136545,8.391530,1.389366,-9.133208,8.345339,1.132272,-9.151363,8.280987,0.926560,-8.939173,8.519798,1.419615,-8.804758,8.614001,1.401251,-8.763676,8.601940,1.143554,-8.684312,8.601715,0.942336,-9.021948,8.455805,0.933232,-9.039751,8.476921,0.517043,-9.070318,8.523300,0.098991,-8.997731,8.370563,0.017156,-8.887081,8.543825,0.933895,-8.899908,8.550409,0.517039,-8.929476,8.588011,0.098033,-8.836083,8.444465,0.018998,0.008889,0.029586,0.003174
-8.954639,8.500254,0.933492,-8.955982,8.501713,1.031802,-8.954426,8.495311,1.139767,-8.959987,8.498686,1.238312,-8.966984,8.502859,1.336625,-8.970629,8.497539,1.481990,-8.955893,8.478084,1.573511,-8.999068,8.479634,1.416640,-9.136490,8.392124,1.389515,-9.133423,8.346105,1.132387,-9.151912,8.282009,0.926625,-8.938876,8.520055,1.419630,-8.804325,8.614089,1.401401,-8.763600,8.602646,1.143620,-8.684657,8.604917,0.942271,-9.022216,8.456464,0.933345,-9.039690,8.477255,0.517126,-9.070276,8.523197,0.099027,-8.997622,8.370483,0.017204,-8.887064,8.544046,0.933853,-8.900270,8.550653,0.517009,-8.929814,8.588324,0.098008,-8.836487,8.444858,0.018751,0.009995,0.031078,0.003271
-8.954764,8.500694,0.933527,-8.956002,8.502175,1.031838,-8.954366,8.495739,1.139800,-8.959836,8.499082,1.238351,-8.966746,8.503206,1.336672,-8.970290,8.497779,1.482035,-8.955576,8.478284,1.573551,-8.998844,8.479999,1.416671,-9.136436,8.392717,1.389665,-9.133638,8.346871,1.132502,-9.152460,8.283031,0.926690,-8.938579,8.520313,1.419646,-8.803891,8.614178,1.401552,-8.763523,8.603353,1.143686,-8.685002,8.608119,0.942205,-9.022484,8.457124,0.933457,-9.039630,8.477590,0.517209,-9.070234,8.523094,0.099063,-8.997512,8.370404,0.017252,-8.887047,8.544267,0.933810,-8.900631,8.550896,0.516979,-8.930151,8.588638,0.097983,-8.836891,8.445251,0.018505,0.011101,0.032571,0.003367
-8.954861,8.501157,0.933560,-8.956014,8.502656,1.031872,-8.954306,8.496186,1.139830,-8.959687,8.499494,1.238388,-8.966508,8.503566,1.336717,-8.969940,8.498029,1.482079,-8.955236,8.478482,1.573586,-8.998607,8.480373,1.416708,-9.136375,8.393333,1.389819,-9.133892,8.347660,1.132622,-9.153091,8.284067,0.926769,-8.938265,8.520573,1.419664,-8.803416,8.614232,1.401699,-8.763450,8.604027,1.143743,-8.685318,8.611185,0.942168,-9.022710,8.457787,0.933552,-9.039578,8.477937,0.517277,-9.070217,8.523023,0.099089,-8.997436,8.370348,0.017298,-8.887013,8.544528,0.933782,-8.900909,8.551131,0.516961,-8.930380,8.588851,0.097959,-8.837173,8.445523,0.018310,0.011645,0.033345,0.002840
-8.954913,8.501639,0.933594,-8.956014,8.503159,1.031906,-8.954245,8.496653,1.139862,-8.959541,8.499922,1.238425,-8.966265,8.503938,1.336763,-8.969567,8.498281,1.482124,-8.954854,8.478666,1.573614,-8.998342,8.480750,1.416760,-9.136300,8.393975,1.389988,-9.134198,8.348491,1.132754,-9.153834,8.285131,0.926870,-8.937917,8.520827,1.419691,-8.802863,8.614214,1.401850,-8.763396,8.604661,1.143792,-8.685617,8.614100,0.942174,-9.022875,8.458447,0.933627,-9.039548,8.478324,0.517330,-9.070240,8.523011,0.099103,-8.997414,8.370326,0.017355,-8.886951,8.544832,0.933776,-8.901047,8.551346,0.516961,-8.930422,8.588893,0.097937,-8.837252,8.445594,0.018193,0.010935,0.032706,0.001008
-8.954935,8.502143,0.933626,-8.956006,8.503682,1.031939,-8.954185,8.497137,1.139891,-8.959397,8.500366,1.238460,-8.966021,8.504324,1.336808,-8.969182,8.498544,1.482166,-8.954448,8.478848,1.573636,-8.998064,8.481135,1.416817,-9.136219,8.394638,1.390162,-9.134543,8.349347,1.132891,-9.154660,8.286208,0.926985,-8.937551,8.521084,1.419720,-8.802269,8.614162,1.401996,-8.763347,8.605263,1.143833,-8.685888,8.616879,0.942208,-9.022999,8.459110,0.933684,-9.039525,8.478723,0.517369,-9.070289,8.523031,0.099106,-8.997426,8.370328,0.017409,-8.886872,8.545176,0.933784,-8.901100,8.551553,0.516971,-8.930355,8.588834,0.097916,-8.837210,8.445544,0.018128,0.009663,0.031350,-0.001448
-8.954945,8.502696,0.933649,-8.955994,8.504239,1.031961,-8.954127,8.497652,1.139911,-8.959260,8.500840,1.238485,-8.965789,8.504743,1.336841,-8.968815,8.498850,1.482198,-8.954051,8.479065,1.573644,-8.997800,8.481555,1.416859,-9.136151,8.395334,1.390321,-9.134926,8.350194,1.133021,-9.155557,8.287274,0.927099,-8.937203,8.521377,1.419733,-8.801698,8.614152,1.402109,-8.763256,8.605827,1.143853,-8.686061,8.619427,0.942248,-9.023097,8.459804,0.933720,-9.039478,8.479071,0.517383,-9.070347,8.523039,0.099092,-8.997434,8.370344,0.017417,-8.886792,8.545589,0.933793,-8.901149,8.551771,0.516983,-8.930298,8.588785,0.097898,-8.837169,8.445495,0.018091,0.009338,0.030638,-0.003115
-8.954945,8.503322,0.933677,-8.955976,8.504857,1.031990,-8.954066,8.498222,1.139935,-8.959127,8.501366,1.238515,-8.965566,8.505216,1.336879,-8.968465,8.499218,1.482234,-8.953666,8.479331,1.573652,-8.997555,8.482027,1.416892,-9.136100,8.396082,1.390473,-9.135356,8.351026,1.133156,-9.156535,8.288316,0.927226,-8.936877,8.521727,1.419739,-8.801162,8.614208,1.402185,-8.763103,8.606348,1.143858,-8.686116,8.621744,0.942300,-9.023173,8.460553,0.933755,-9.039476,8.479416,0.517396,-9.070449,8.523009,0.099073,-8.997422,8.370377,0.017387,-8.886716,8.546092,0.933815,-8.901236,8.551990,0.517007,-8.930293,8.588783,0.097895,-8.837172,8.445487,0.018089,0.010830,0.031275,-0.002429
-8.954932,8.503997,0.933695,-8.955954,8.505508,1.032008,-8.954006,8.498822,1.139950,-8.959001,8.501922,1.238534,-8.965356,8.505723,1.336906,-8.968133,8.499629,1.482259,-8.953290,8.479633,1.573646,-8.997324,8.482532,1.416910,-9.136062,8.396863,1.390609,-9.135822,8.351850,1.133284,-9.157585,8.289346,0.927352,-8.936567,8.522114,1.419729,-8.800650,8.614306,1.402228,-8.762909,8.606831,1.143842,-8.686074,8.623831,0.942358,-9.023225,8.461332,0.933768,-9.039449,8.479710,0.517384,-9.070561,8.522965,0.099037,-8.997406,8.370423,0.017310,-8.886638,8.546664,0.933839,-8.901319,8.552220,0.517031,-8.930298,8.588790,0.097895,-8.837177,8.445480,0.018114,0.013269,0.032556,-0.000954
-8.954908,8.504679,0.933649,-8.955937,8.506134,1.031963,-8.953961,8.499389,1.139900,-8.958899,8.502449,1.238489,-8.965178,8.506214,1.336866,-8.967842,8.500061,1.482220,-8.952949,8.479960,1.573576,-8.997125,8.483039,1.416874,-9.136044,8.397629,1.390690,-9.136299,8.352657,1.133357,-9.158665,8.290376,0.927422,-8.936299,8.522517,1.419658,-8.800199,8.614451,1.402213,-8.762690,8.607282,1.143784,-8.685926,8.625593,0.942387,-9.023254,8.462099,0.933692,-9.039152,8.479743,0.517267,-9.070562,8.522935,0.098936,-8.997401,8.370460,0.017119,-8.886561,8.547261,0.933823,-8.901343,8.552511,0.517014,-8.930311,8.588809,0.097853,-8.837182,8.445475,0.018124,0.015561,0.033733,-0.001967
