pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
-1.072989,8.241948,0.906828,-1.081878,8.258365,0.998010,-1.087540,8.261999,1.100331,-1.096395,8.272384,1.192943,-1.105339,8.281118,1.285610,-1.112985,8.279320,1.414336,-1.107842,8.259622,1.500522,-1.134254,8.270320,1.356086,-1.245135,8.221412,1.330211,-1.226044,8.199429,1.074554,-1.239923,8.159471,0.859379,-1.084975,8.289988,1.359287,-0.968457,8.328228,1.341483,-0.951070,8.294161,1.087030,-0.908068,8.264845,0.874000,-1.142663,8.211831,0.905389,-1.157525,8.221452,0.506964,-1.176170,8.264936,0.084513,-1.158367,8.113386,0.016391,-1.003299,8.272035,0.908101,-0.993143,8.282865,0.509562,-0.989169,8.306006,0.085121,-0.914285,8.171050,0.021057,-0.022386,0.004316,0.000602
-1.073000,8.242165,0.906784,-1.081889,8.258538,0.997974,-1.087535,8.262137,1.100298,-1.096370,8.272497,1.192914,-1.105287,8.281212,1.285586,-1.112882,8.279395,1.414314,-1.107673,8.259676,1.500491,-1.134175,8.270385,1.356090,-1.245044,8.221390,1.330324,-1.226170,8.199372,1.074654,-1.240243,8.159456,0.859483,-1.084905,8.290081,1.359275,-0.968418,8.328487,1.341615,-0.950886,8.294662,1.087140,-0.907783,8.265611,0.874095,-1.142679,8.212064,0.905328,-1.158022,8.221263,0.506913,-1.176207,8.265044,0.084474,-1.158337,8.113459,0.016447,-1.003304,8.272235,0.908074,-0.992331,8.282987,0.509554,-0.988959,8.305984,0.085100,-0.914061,8.171047,0.021013,-0.021409,0.004946,0.000930
-1.073011,8.242381,0.906740,-1.081900,8.258710,0.997938,-1.087529,8.262275,1.100264,-1.096345,8.272610,1.192885,-1.105235,8.281305,1.285561,-1.112780,8.279470,1.414292,-1.107504,8.259730,1.500461,-1.134096,8.270450,1.356095,-1.244952,8.221368,1.330437,-1.226295,8.199315,1.074754,-1.240563,8.159441,0.859588,-1.084835,8.290175,1.359263,-0.968380,8.328746,1.341747,-0.950701,8.295162,1.087251,-0.907498,8.266377,0.874190,-1.142696,8.212296,0.905268,-1.158520,8.221075,0.506861,-1.176244,8.265151,0.084434,-1.158307,8.113532,0.016503,-1.003309,8.272436,0.908047,-0.991518,8.283109,0.509546,-0.988750,8.305961,0.085079,-0.913838,8.171043,0.020968,-0.020433,0.005576,0.001257
-1.073021,8.242595,0.906708,-1.081908,8.258882,0.997914,-1.087518,8.262413,1.100242,-1.096312,8.272719,1.192868,-1.105174,8.281392,1.285549,-1.112665,8.279533,1.414283,-1.107328,8.259773,1.500443,-1.134004,8.270508,1.356108,-1.244848,8.221343,1.330555,-1.226413,8.199259,1.074859,-1.240937,8.159428,0.859702,-1.084751,8.290260,1.359259,-0.968328,8.328989,1.341876,-0.950506,8.295658,1.087357,-0.907229,8.267119,0.874278,-1.142710,8.212519,0.905222,-1.158947,8.220893,0.506823,-1.176289,8.265240,0.084409,-1.158286,8.113586,0.016572,-1.003316,8.272641,0.908027,-0.990804,8.283206,0.509544,-0.988596,8.305945,0.085067,-0.913672,8.171044,0.020933,-0.019478,0.006046,0.001370
-1.073037,8.242811,0.906695,-1.081917,8.259058,0.997909,-1.087504,8.262551,1.100239,-1.096272,8.272826,1.192871,-1.105103,8.281470,1.285558,-1.112538,8.279577,1.414295,-1.107147,8.259796,1.500447,-1.133895,8.270554,1.356135,-1.244726,8.221309,1.330682,-1.226514,8.199204,1.074971,-1.241400,8.159418,0.859832,-1.084652,8.290334,1.359269,-0.968260,8.329212,1.342006,-0.950297,8.296151,1.087462,-0.906984,8.267831,0.874361,-1.142725,8.212736,0.905201,-1.159271,8.220705,0.506807,-1.176354,8.265298,0.084408,-1.158283,8.113609,0.016668,-1.003332,8.272856,0.908022,-0.990238,8.283266,0.509553,-0.988535,8.305937,0.085069,-0.913603,8.171052,0.020912,-0.018643,0.006383,0.001092
-1.073052,8.243024,0.906694,-1.081923,8.259233,0.997915,-1.087483,8.262689,1.100249,-1.096224,8.272931,1.192887,-1.105022,8.281543,1.285580,-1.112398,8.279610,1.414319,-1.106958,8.259807,1.500463,-1.133773,8.270594,1.356171,-1.244592,8.221272,1.330814,-1.226607,8.199151,1.075089,-1.241916,8.159409,0.859971,-1.084539,8.290399,1.359289,-0.968179,8.329418,1.342133,-0.950077,8.296640,1.087563,-0.906757,8.268520,0.874437,-1.142738,8.212944,0.905195,-1.159526,8.220525,0.506804,-1.176428,8.265338,0.084421,-1.158290,8.113613,0.016778,-1.003350,8.273075,0.908025,-0.989771,8.283299,0.509568,-0.988529,8.305936,0.085081,-0.913591,8.171065,0.020899,-0.017829,0.006559,0.000598
-1.073051,8.243222,0.906694,-1.081915,8.259393,0.997922,-1.087447,8.262815,1.100258,-1.096160,8.273027,1.192902,-1.104923,8.281611,1.285601,-1.112237,8.279645,1.414343,-1.106751,8.259824,1.500480,-1.133631,8.270633,1.356206,-1.244442,8.221242,1.330947,-1.226706,8.199098,1.075207,-1.242439,8.159402,0.860111,-1.084406,8.290463,1.359306,-0.968075,8.329609,1.342243,-0.949854,8.297107,1.087646,-0.906541,8.269178,0.874494,-1.142731,8.213126,0.905192,-1.159746,8.220398,0.506804,-1.176484,8.265373,0.084432,-1.158290,8.113617,0.016876,-1.003356,8.273288,0.908028,-0.989349,8.283318,0.509580,-0.988525,8.305936,0.085091,-0.913579,8.171079,0.020890,-0.016766,0.006333,0.000199
-1.073026,8.243400,0.906690,-1.081885,8.259537,0.997925,-1.087390,8.262930,1.100263,-1.096074,8.273117,1.192913,-1.104800,8.281679,1.285617,-1.112050,8.279686,1.414363,-1.106519,8.259852,1.500494,-1.133467,8.270676,1.356238,-1.244275,8.221227,1.331080,-1.226824,8.199048,1.075323,-1.242963,8.159399,0.860248,-1.084249,8.290525,1.359317,-0.967942,8.329780,1.342331,-0.949623,8.297552,1.087706,-0.906342,8.269802,0.874524,-1.142693,8.213275,0.905186,-1.159937,8.220352,0.506805,-1.176510,8.265411,0.084435,-1.158275,8.113627,0.016953,-1.003343,8.273495,0.908026,-0.988961,8.283315,0.509586,-0.988506,8.305937,0.085097,-0.913546,8.171093,0.020885,-0.015281,0.005452,-0.000032
-1.072984,8.243561,0.906687,-1.081841,8.259667,0.997928,-1.087318,8.263034,1.100269,-1.095971,8.273200,1.192924,-1.104659,8.281743,1.285633,-1.111842,8.279730,1.414382,-1.106269,8.259885,1.500508,-1.133284,8.270718,1.356269,-1.244093,8.221220,1.331214,-1.226948,8.198999,1.075440,-1.243495,8.159399,0.860387,-1.084071,8.290586,1.359325,-0.967788,8.329935,1.342402,-0.949389,8.297975,1.087749,-0.906155,8.270397,0.874535,-1.142634,8.213398,0.905183,-1.160094,8.220360,0.506809,-1.176519,8.265446,0.084437,-1.158253,8.113637,0.017019,-1.003318,8.273695,0.908024,-0.988619,8.283296,0.509590,-0.988490,8.305939,0.085101,-0.913513,8.171109,0.020883,-0.013546,0.004169,-0.000169
-1.072934,8.243704,0.906685,-1.081787,8.259775,0.997932,-1.087233,8.263119,1.100276,-1.095855,8.273266,1.192935,-1.104503,8.281798,1.285650,-1.111618,8.279775,1.414402,-1.106003,8.259926,1.500524,-1.133085,8.270755,1.356300,-1.243896,8.221208,1.331349,-1.227062,8.198944,1.075558,-1.244008,8.159399,0.860526,-1.083880,8.290645,1.359332,-0.967619,8.330082,1.342458,-0.949167,8.298357,1.087780,-0.905965,8.270964,0.874535,-1.142569,8.213504,0.905181,-1.160241,8.220388,0.506815,-1.176524,8.265475,0.084437,-1.158232,8.113645,0.017072,-1.003284,8.273875,0.908021,-0.988308,8.283292,0.509594,-0.988474,8.305942,0.085105,-0.913482,8.171123,0.020880,-0.011810,0.002995,-0.000129
