pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
-2.076258,8.673320,0.905143,-2.078189,8.674459,0.998190,-2.082811,8.666544,1.100322,-2.087078,8.669646,1.193784,-2.092030,8.673629,1.287075,-2.100606,8.666995,1.415584,-2.105335,8.640093,1.499824,-2.123285,8.671999,1.357423,-2.244190,8.675611,1.330491,-2.237673,8.654454,1.074135,-2.266736,8.629586,0.858204,-2.070397,8.667771,1.360732,-1.948568,8.650893,1.345599,-1.948674,8.619357,1.090229,-1.930312,8.577810,0.875692,-2.152017,8.677917,0.903445,-2.157431,8.700481,0.505303,-2.152631,8.748540,0.082966,-2.213905,8.610091,0.012734,-2.000496,8.668721,0.906671,-1.992711,8.673830,0.507962,-1.984304,8.695394,0.083503,-1.977769,8.541877,0.017816,-0.020197,-0.000514,0.010623
-2.076530,8.673232,0.905328,-2.078460,8.674428,0.998374,-2.083058,8.666515,1.100507,-2.087291,8.669593,1.193972,-2.092199,8.673528,1.287267,-2.100702,8.666801,1.415776,-2.105370,8.639832,1.499998,-2.123415,8.671842,1.357597,-2.244335,8.675453,1.330728,-2.237831,8.654271,1.074374,-2.266889,8.629395,0.858442,-2.070526,8.667623,1.360874,-1.948668,8.650852,1.345853,-1.948510,8.619400,1.090473,-1.930061,8.577741,0.875965,-2.152285,8.677870,0.903628,-2.157902,8.700403,0.505488,-2.152609,8.748231,0.083132,-2.213893,8.609786,0.012902,-2.000771,8.668592,0.906859,-1.992694,8.673608,0.508156,-1.984416,8.695420,0.083708,-1.977861,8.541899,0.018032,-0.020100,-0.000641,0.010457
-2.076802,8.673144,0.905513,-2.078731,8.674397,0.998558,-2.083305,8.666486,1.100692,-2.087504,8.669541,1.194160,-2.092369,8.673426,1.287459,-2.100799,8.666607,1.415967,-2.105404,8.639572,1.500172,-2.123546,8.671686,1.357771,-2.244480,8.675295,1.330965,-2.237990,8.654088,1.074612,-2.267041,8.629205,0.858680,-2.070654,8.667474,1.361016,-1.948768,8.650810,1.346108,-1.948345,8.619443,1.090717,-1.929809,8.577671,0.876238,-2.152554,8.677824,0.903811,-2.158372,8.700325,0.505673,-2.152587,8.747923,0.083299,-2.213881,8.609481,0.013071,-2.001046,8.668462,0.907047,-1.992677,8.673387,0.508350,-1.984528,8.695445,0.083913,-1.977953,8.541921,0.018248,-0.020004,-0.000768,0.010290
-2.077057,8.673073,0.905658,-2.078983,8.674376,0.998702,-2.083535,8.666464,1.100838,-2.087702,8.669495,1.194307,-2.092526,8.673334,1.287611,-2.100890,8.666426,1.416119,-2.105439,8.639330,1.500307,-2.123668,8.671541,1.357917,-2.244615,8.675144,1.331171,-2.238146,8.653923,1.074819,-2.267215,8.629063,0.858886,-2.070774,8.667336,1.361133,-1.948861,8.650773,1.346328,-1.948190,8.619484,1.090928,-1.929589,8.577602,0.876476,-2.152807,8.677792,0.903956,-2.158801,8.700281,0.505820,-2.152569,8.747707,0.083433,-2.213873,8.609267,0.013208,-2.001304,8.668351,0.907194,-1.992656,8.673208,0.508502,-1.984607,8.695465,0.084075,-1.978016,8.541936,0.018422,-0.020059,-0.000915,0.010143
-2.077286,8.673027,0.905741,-2.079207,8.674370,0.998785,-2.083737,8.666454,1.100921,-2.087876,8.669461,1.194393,-2.092665,8.673255,1.287700,-2.100972,8.666265,1.416207,-2.105472,8.639113,1.500380,-2.123776,8.671411,1.358023,-2.244736,8.675000,1.331330,-2.238302,8.653783,1.074977,-2.267422,8.628992,0.859044,-2.070881,8.667212,1.361213,-1.948944,8.650744,1.346498,-1.948047,8.619519,1.091090,-1.929416,8.577522,0.876663,-2.153034,8.677786,0.904040,-2.159169,8.700291,0.505908,-2.152561,8.747644,0.083518,-2.213871,8.609205,0.013295,-2.001535,8.668265,0.907275,-1.992623,8.673089,0.508588,-1.984632,8.695477,0.084167,-1.978030,8.541942,0.018530,-0.020414,-0.001176,0.010044
-2.077499,8.672997,0.905784,-2.079412,8.674374,0.998828,-2.083923,8.666451,1.100964,-2.088036,8.669433,1.194438,-2.092793,8.673185,1.287748,-2.101048,8.666117,1.416255,-2.105506,8.638915,1.500414,-2.123875,8.671293,1.358101,-2.244847,8.674863,1.331459,-2.238456,8.653662,1.075104,-2.267650,8.628970,0.859169,-2.070978,8.667098,1.361268,-1.949020,8.650720,1.346633,-1.947914,8.619552,1.091220,-1.929274,8.577443,0.876816,-2.153244,8.677796,0.904087,-2.159495,8.700335,0.505957,-2.152558,8.747674,0.083571,-2.213872,8.609235,0.013351,-2.001750,8.668197,0.907315,-1.992586,8.673014,0.508633,-1.984624,8.695484,0.084215,-1.978015,8.541942,0.018595,-0.020921,-0.001457,0.009965
-2.077706,8.672973,0.905818,-2.079612,8.674377,0.998861,-2.084103,8.666445,1.100998,-2.088190,8.669405,1.194473,-2.092917,8.673118,1.287787,-2.101123,8.665981,1.416293,-2.105541,8.638733,1.500439,-2.123971,8.671184,1.358166,-2.244953,8.674740,1.331570,-2.238600,8.653555,1.075212,-2.267888,8.628981,0.859277,-2.071072,8.666993,1.361311,-1.949095,8.650695,1.346749,-1.947795,8.619589,1.091329,-1.929143,8.577394,0.876943,-2.153450,8.677807,0.904124,-2.159790,8.700386,0.505998,-2.152554,8.747708,0.083614,-2.213875,8.609265,0.013404,-2.001959,8.668138,0.907344,-1.992555,8.672970,0.508668,-1.984615,8.695493,0.084251,-1.978001,8.541942,0.018652,-0.021288,-0.001504,0.009839
-2.077911,8.672950,0.905847,-2.079811,8.674371,0.998891,-2.084282,8.666431,1.101028,-2.088345,8.669371,1.194505,-2.093040,8.673054,1.287821,-2.101197,8.665862,1.416327,-2.105579,8.638574,1.500462,-2.124066,8.671089,1.358217,-2.245056,8.674639,1.331661,-2.238729,8.653463,1.075302,-2.268135,8.629023,0.859367,-2.071165,8.666899,1.361341,-1.949170,8.650673,1.346844,-1.947689,8.619630,1.091418,-1.929020,8.577382,0.877044,-2.153653,8.677814,0.904157,-2.160052,8.700435,0.506034,-2.152549,8.747718,0.083650,-2.213880,8.609266,0.013461,-2.002166,8.668084,0.907370,-1.992530,8.672968,0.508699,-1.984616,8.695505,0.084283,-1.977998,8.541944,0.018707,-0.021378,-0.001185,0.009596
-2.078111,8.672932,0.905867,-2.080004,8.674364,0.998911,-2.084457,8.666414,1.101047,-2.088495,8.669336,1.194526,-2.093160,8.672992,1.287845,-2.101269,8.665755,1.416351,-2.105619,8.638431,1.500476,-2.124156,8.671003,1.358255,-2.245155,8.674552,1.331734,-2.238847,8.653386,1.075374,-2.268391,8.629099,0.859441,-2.071254,8.666814,1.361358,-1.949244,8.650651,1.346919,-1.947597,8.619674,1.091486,-1.928907,8.577400,0.877119,-2.153851,8.677822,0.904181,-2.160283,8.700490,0.506061,-2.152542,8.747733,0.083676,-2.213886,8.609268,0.013515,-2.002367,8.668039,0.907385,-1.992513,8.672998,0.508721,-1.984617,8.695519,0.084303,-1.977996,8.541947,0.018754,-0.021328,-0.000633,0.009308
-2.078309,8.672925,0.905889,-2.080194,8.674367,0.998932,-2.084627,8.666405,1.101069,-2.088640,8.669306,1.194549,-2.093275,8.672930,1.287871,-2.101339,8.665640,1.416377,-2.105658,8.638281,1.500492,-2.124245,8.670912,1.358295,-2.245250,8.674463,1.331808,-2.238963,8.653322,1.075446,-2.268650,8.629197,0.859514,-2.071341,8.666724,1.361377,-1.949317,8.650619,1.346986,-1.947520,8.619730,1.091543,-1.928792,8.577465,0.877178,-2.154047,8.677836,0.904208,-2.160499,8.700541,0.506090,-2.152536,8.747751,0.083706,-2.213893,8.609270,0.013577,-2.002567,8.668012,0.907401,-1.992518,8.673020,0.508742,-1.984618,8.695532,0.084324,-1.977995,8.541949,0.018800,-0.021262,0.000009,0.009125
