pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
6.013128,11.081689,0.912370,6.010893,11.084362,1.006270,6.008065,11.082154,1.108502,6.012195,11.090613,1.201450,6.018289,11.101094,1.293978,6.023006,11.105820,1.426280,6.014699,11.083134,1.522804,5.993226,11.116910,1.368811,5.865335,11.180151,1.348111,5.825618,11.152278,1.084554,5.782886,11.120309,0.865935,6.047945,11.090265,1.367813,6.171107,11.022162,1.336599,6.173935,10.973445,1.073095,6.192053,10.922373,0.854681,5.947044,11.122341,0.910141,5.920389,11.161957,0.516835,5.890041,11.203548,0.090869,5.813570,11.057824,0.019094,6.079194,11.041068,0.915617,6.098252,11.049353,0.519976,6.117603,11.062225,0.091542,6.077420,10.901411,0.022554,-0.028971,-0.000317,0.003010
6.012884,11.081601,0.912296,6.010670,11.084288,1.006197,6.007865,11.082085,1.108430,6.012016,11.090544,1.201377,6.018130,11.101021,1.293904,6.022877,11.105737,1.426205,6.014582,11.083013,1.522721,5.993111,11.116839,1.368743,5.865216,11.180074,1.348055,5.825524,11.152240,1.084490,5.782813,11.120310,0.865862,6.047832,11.090193,1.367731,6.171020,11.022133,1.336524,6.173954,10.973453,1.073015,6.192143,10.922443,0.854592,5.946789,11.122237,0.910077,5.920251,11.161826,0.516761,5.889981,11.203502,0.090798,5.813504,11.057778,0.019030,6.078959,11.040997,0.915535,6.098018,11.049210,0.519891,6.117368,11.062108,0.091457,6.077204,10.901300,0.022445,-0.028400,-0.000362,0.002828
6.012631,11.081509,0.912220,6.010438,11.084210,1.006120,6.007657,11.082011,1.108354,6.011829,11.090471,1.201300,6.017965,11.100943,1.293826,6.022744,11.105650,1.426126,6.014461,11.082885,1.522634,5.992993,11.116762,1.368672,5.865092,11.179992,1.347996,5.825427,11.152198,1.084423,5.782737,11.120309,0.865785,6.047714,11.090117,1.367645,6.170931,11.022102,1.336446,6.173975,10.973462,1.072930,6.192237,10.922515,0.854499,5.946525,11.122128,0.910010,5.920107,11.161690,0.516684,5.889919,11.203454,0.090724,5.813435,11.057729,0.018963,6.078716,11.040921,0.915448,6.097774,11.049060,0.519802,6.117121,11.061986,0.091369,6.076978,10.901184,0.022331,-0.027807,-0.000416,0.002638
6.012370,11.081414,0.912141,6.010198,11.084129,1.006041,6.007443,11.081934,1.108276,6.011637,11.090394,1.201220,6.017795,11.100862,1.293746,6.022606,11.105558,1.426045,6.014337,11.082752,1.522544,5.992871,11.116683,1.368599,5.864966,11.179907,1.347935,5.825327,11.152155,1.084354,5.782659,11.120308,0.865706,6.047594,11.090038,1.367556,6.170840,11.022069,1.336365,6.173996,10.973469,1.072843,6.192334,10.922589,0.854403,5.946254,11.122016,0.909940,5.919958,11.161550,0.516604,5.889854,11.203403,0.090647,5.813363,11.057679,0.018893,6.078465,11.040842,0.915359,6.097521,11.048906,0.519711,6.116866,11.061860,0.091278,6.076744,10.901064,0.022213,-0.027197,-0.000477,0.002442
6.012104,11.081316,0.912060,6.009955,11.084045,1.005960,6.007225,11.081854,1.108196,6.011441,11.090314,1.201139,6.017622,11.100779,1.293663,6.022466,11.105464,1.425962,6.014209,11.082616,1.522452,5.992748,11.116601,1.368525,5.864838,11.179820,1.347873,5.825226,11.152110,1.084283,5.782580,11.120307,0.865625,6.047471,11.089956,1.367465,6.170747,11.022034,1.336282,6.174019,10.973477,1.072754,6.192433,10.922665,0.854304,5.945977,11.121901,0.909870,5.919805,11.161406,0.516522,5.889788,11.203352,0.090569,5.813289,11.057628,0.018822,6.078209,11.040761,0.915268,6.097262,11.048748,0.519617,6.116605,11.061731,0.091185,6.076504,10.900941,0.022093,-0.026575,-0.000543,0.002241
6.011835,11.081216,0.911978,6.009708,11.083959,1.005878,6.007004,11.081773,1.108115,6.011243,11.090233,1.201057,6.017447,11.100694,1.293580,6.022325,11.105368,1.425878,6.014081,11.082477,1.522359,5.992623,11.116518,1.368449,5.864708,11.179731,1.347810,5.825123,11.152065,1.084212,5.782500,11.120305,0.865543,6.047348,11.089873,1.367373,6.170653,11.021998,1.336198,6.174041,10.973484,1.072663,6.192533,10.922741,0.854204,5.945697,11.121784,0.909798,5.919650,11.161261,0.516440,5.889720,11.203299,0.090490,5.813215,11.057576,0.018750,6.077951,11.040679,0.915175,6.097000,11.048588,0.519522,6.116340,11.061600,0.091091,6.076261,10.900817,0.021972,-0.025946,-0.000611,0.002037
6.011565,11.081116,0.911896,6.009461,11.083874,1.005796,6.006782,11.081691,1.108033,6.011044,11.090152,1.200975,6.017271,11.100608,1.293497,6.022183,11.105271,1.425793,6.013952,11.082338,1.522265,5.992498,11.116434,1.368373,5.864578,11.179642,1.347747,5.825021,11.152019,1.084140,5.782420,11.120302,0.865460,6.047224,11.089790,1.367281,6.170559,11.021963,1.336113,6.174064,10.973492,1.072573,6.192633,10.922818,0.854104,5.945417,11.121667,0.909726,5.919494,11.161116,0.516357,5.889653,11.203247,0.090411,5.813140,11.057524,0.018678,6.077691,11.040596,0.915083,6.096737,11.048428,0.519427,6.116075,11.061469,0.090996,6.076018,10.900692,0.021850,-0.025316,-0.000681,0.001833
6.011297,11.081017,0.911814,6.009215,11.083789,1.005715,6.006562,11.081611,1.107953,6.010846,11.090072,1.200893,6.017096,11.100524,1.293414,6.022041,11.105176,1.425710,6.013824,11.082201,1.522173,5.992374,11.116352,1.368298,5.864449,11.179554,1.347684,5.824919,11.151973,1.084069,5.782340,11.120301,0.865378,6.047101,11.089707,1.367189,6.170465,11.021927,1.336030,6.174087,10.973499,1.072482,6.192733,10.922894,0.854005,5.945138,11.121550,0.909655,5.919340,11.160971,0.516275,5.889586,11.203194,0.090332,5.813066,11.057472,0.018606,6.077433,11.040514,0.914991,6.096476,11.048269,0.519333,6.115811,11.061338,0.090902,6.075775,10.900567,0.021729,-0.024689,-0.000749,0.001630
6.011032,11.080920,0.911734,6.008972,11.083705,1.005635,6.006345,11.081532,1.107873,6.010651,11.089993,1.200813,6.016924,11.100441,1.293332,6.021902,11.105082,1.425627,6.013697,11.082065,1.522081,5.992251,11.116270,1.368224,5.864321,11.179467,1.347622,5.824818,11.151929,1.083999,5.782261,11.120299,0.865298,6.046979,11.089626,1.367099,6.170373,11.021893,1.335947,6.174109,10.973506,1.072394,6.192831,10.922969,0.853907,5.944862,11.121436,0.909584,5.919188,11.160829,0.516194,5.889520,11.203143,0.090254,5.812993,11.057421,0.018536,6.077179,11.040433,0.914900,6.096219,11.048112,0.519240,6.115551,11.061210,0.090810,6.075537,10.900445,0.021610,-0.024071,-0.000813,0.001431
6.010774,11.080826,0.911655,6.008735,11.083625,1.005556,6.006133,11.081455,1.107795,6.010461,11.089917,1.200734,6.016755,11.100361,1.293253,6.021766,11.104992,1.425547,6.013574,11.081934,1.521992,5.992130,11.116192,1.368151,5.864196,11.179383,1.347562,5.824719,11.151886,1.083930,5.782183,11.120298,0.865219,6.046859,11.089547,1.367011,6.170282,11.021860,1.335867,6.174130,10.973514,1.072307,6.192927,10.923043,0.853811,5.944593,11.121325,0.909516,5.919041,11.160690,0.516115,5.889456,11.203093,0.090178,5.812922,11.057371,0.018467,6.076931,11.040355,0.914812,6.095969,11.047959,0.519149,6.115299,11.061085,0.090719,6.075306,10.900326,0.021493,-0.023466,-0.000872,0.001236
