pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
-9.756391,-1.661392,0.861841,-9.781816,-1.663069,0.947319,-9.789068,-1.665591,1.044346,-9.800676,-1.669107,1.132387,-9.808198,-1.673203,1.220747,-9.801459,-1.678819,1.348528,-9.775321,-1.682818,1.437111,-9.802633,-1.706513,1.290880,-9.795781,-1.845022,1.270840,-9.771029,-1.860150,1.052851,-9.729109,-1.884045,0.855900,-9.806873,-1.646078,1.293763,-9.816652,-1.507104,1.278832,-9.794102,-1.475819,1.062332,-9.777279,-1.450184,0.861890,-9.751265,-1.734541,0.862258,-9.798160,-1.730544,0.484930,-9.836144,-1.729413,0.085516,-9.677333,-1.743121,0.010011,-9.761673,-1.588251,0.861946,-9.794185,-1.582343,0.483133,-9.834107,-1.572250,0.084035,-9.676010,-1.563706,0.006855,0.006737,-0.036334,0.000101
-9.756388,-1.660842,0.861874,-9.781728,-1.662511,0.947375,-9.788903,-1.665032,1.044406,-9.800447,-1.668544,1.132455,-9.807912,-1.672637,1.220819,-9.801099,-1.678251,1.348594,-9.774929,-1.682216,1.437169,-9.802312,-1.705947,1.290950,-9.795447,-1.844448,1.270862,-9.770864,-1.859631,1.052862,-9.729356,-1.883639,0.855863,-9.806539,-1.645511,1.293834,-9.816290,-1.506532,1.278932,-9.793917,-1.475299,1.062411,-9.777074,-1.449748,0.861961,-9.751293,-1.733993,0.862285,-9.798054,-1.730256,0.484944,-9.836260,-1.729254,0.085556,-9.677393,-1.742914,0.010141,-9.761637,-1.587700,0.861986,-9.793764,-1.582022,0.483151,-9.834431,-1.572083,0.084164,-9.676276,-1.563594,0.007071,0.007187,-0.033502,0.000208
-9.756385,-1.660284,0.861909,-9.781640,-1.661946,0.947433,-9.788736,-1.664464,1.044468,-9.800216,-1.667973,1.132524,-9.807624,-1.672062,1.220892,-9.800737,-1.677675,1.348662,-9.774534,-1.681606,1.437228,-9.801988,-1.705373,1.291022,-9.795111,-1.843865,1.270885,-9.770700,-1.859103,1.052873,-9.729611,-1.883228,0.855825,-9.806202,-1.644936,1.293906,-9.815923,-1.505952,1.279034,-9.793730,-1.474772,1.062491,-9.776864,-1.449305,0.862033,-9.751323,-1.733437,0.862313,-9.797948,-1.729965,0.484958,-9.836377,-1.729093,0.085595,-9.677454,-1.742704,0.010273,-9.761601,-1.587140,0.862027,-9.793335,-1.581696,0.483169,-9.834760,-1.571913,0.084295,-9.676547,-1.563481,0.007289,0.007629,-0.030624,0.000313
-9.756383,-1.659719,0.861944,-9.781551,-1.661373,0.947491,-9.788568,-1.663889,1.044530,-9.799984,-1.667394,1.132594,-9.807334,-1.671481,1.220966,-9.800371,-1.677092,1.348731,-9.774135,-1.680988,1.437288,-9.801661,-1.704791,1.291095,-9.794773,-1.843276,1.270908,-9.770536,-1.858569,1.052884,-9.729873,-1.882812,0.855786,-9.805862,-1.644354,1.293980,-9.815552,-1.505364,1.279138,-9.793539,-1.474238,1.062572,-9.776649,-1.448856,0.862106,-9.751355,-1.732874,0.862341,-9.797842,-1.729669,0.484973,-9.836495,-1.728929,0.085636,-9.677516,-1.742490,0.010407,-9.761565,-1.586573,0.862069,-9.792899,-1.581367,0.483188,-9.835093,-1.571741,0.084428,-9.676821,-1.563366,0.007509,0.008063,-0.027704,0.000416
-9.756381,-1.659146,0.861979,-9.781462,-1.660793,0.947550,-9.788399,-1.663307,1.044594,-9.799749,-1.666808,1.132665,-9.807042,-1.670892,1.221041,-9.800003,-1.676502,1.348801,-9.773734,-1.680363,1.437349,-9.801332,-1.704203,1.291169,-9.794433,-1.842679,1.270931,-9.770373,-1.858028,1.052895,-9.730142,-1.882390,0.855747,-9.805519,-1.643765,1.294055,-9.815176,-1.504770,1.279243,-9.793346,-1.473697,1.062655,-9.776430,-1.448402,0.862181,-9.751387,-1.732303,0.862370,-9.797734,-1.729370,0.484988,-9.836615,-1.728762,0.085677,-9.677579,-1.742273,0.010542,-9.761529,-1.585998,0.862111,-9.792457,-1.581034,0.483207,-9.835430,-1.571567,0.084563,-9.677099,-1.563249,0.007730,0.008490,-0.024743,0.000517
-9.756380,-1.658568,0.862016,-9.781373,-1.660206,0.947611,-9.788229,-1.662719,1.044658,-9.799513,-1.666216,1.132737,-9.806747,-1.670296,1.221117,-9.799632,-1.675906,1.348872,-9.773329,-1.679731,1.437412,-9.801001,-1.703608,1.291244,-9.794092,-1.842075,1.270954,-9.770210,-1.857481,1.052907,-9.730417,-1.881964,0.855707,-9.805174,-1.643169,1.294131,-9.814797,-1.504169,1.279350,-9.793151,-1.473150,1.062739,-9.776208,-1.447943,0.862257,-9.751421,-1.731727,0.862399,-9.797626,-1.729067,0.485003,-9.836736,-1.728592,0.085718,-9.677643,-1.742053,0.010678,-9.761492,-1.585418,0.862155,-9.792008,-1.580697,0.483226,-9.835771,-1.571391,0.084700,-9.677381,-1.563131,0.007953,0.008911,-0.021745,0.000615
-9.756379,-1.657983,0.862053,-9.781283,-1.659613,0.947672,-9.788057,-1.662124,1.044724,-9.799275,-1.665617,1.132810,-9.806450,-1.669695,1.221194,-9.799258,-1.675304,1.348944,-9.772922,-1.679093,1.437475,-9.800667,-1.703006,1.291320,-9.793748,-1.841465,1.270978,-9.770047,-1.856928,1.052918,-9.730698,-1.881533,0.855666,-9.804826,-1.642567,1.294208,-9.814415,-1.503561,1.279458,-9.792953,-1.472598,1.062824,-9.775981,-1.447480,0.862335,-9.751455,-1.731144,0.862429,-9.797517,-1.728761,0.485019,-9.836858,-1.728420,0.085760,-9.677707,-1.741830,0.010815,-9.761456,-1.584831,0.862199,-9.791553,-1.580357,0.483246,-9.836115,-1.571212,0.084838,-9.677666,-1.563012,0.008177,0.009325,-0.018712,0.000712
-9.756379,-1.657392,0.862090,-9.781193,-1.659014,0.947733,-9.787885,-1.661523,1.044790,-9.799036,-1.665013,1.132884,-9.806152,-1.669088,1.221273,-9.798882,-1.674696,1.349017,-9.772513,-1.678448,1.437538,-9.800332,-1.702400,1.291396,-9.793404,-1.840850,1.271002,-9.769884,-1.856370,1.052929,-9.730985,-1.881098,0.855625,-9.804476,-1.641959,1.294286,-9.814029,-1.502948,1.279567,-9.792754,-1.472040,1.062911,-9.775752,-1.447012,0.862413,-9.751491,-1.730555,0.862460,-9.797407,-1.728452,0.485035,-9.836981,-1.728247,0.085803,-9.677772,-1.741605,0.010953,-9.761419,-1.584238,0.862243,-9.791093,-1.580014,0.483266,-9.836462,-1.571032,0.084979,-9.677955,-1.562891,0.008403,0.009734,-0.015647,0.000806
-9.756379,-1.656797,0.862128,-9.781103,-1.658410,0.947796,-9.787712,-1.660918,1.044857,-9.798795,-1.664403,1.132959,-9.805852,-1.668475,1.221351,-9.798505,-1.674083,1.349091,-9.772101,-1.677799,1.437603,-9.799995,-1.701788,1.291474,-9.793057,-1.840229,1.271026,-9.769722,-1.855807,1.052941,-9.731277,-1.880660,0.855583,-9.804123,-1.641346,1.294364,-9.813641,-1.502330,1.279678,-9.792552,-1.471478,1.062998,-9.775519,-1.446540,0.862493,-9.751527,-1.729962,0.862491,-9.797297,-1.728140,0.485052,-9.837106,-1.728071,0.085846,-9.677838,-1.741377,0.011093,-9.761382,-1.583641,0.862288,-9.790629,-1.579668,0.483287,-9.836812,-1.570850,0.085120,-9.678246,-1.562770,0.008629,0.010137,-0.012552,0.000899
-9.756379,-1.656197,0.862166,-9.781012,-1.657801,0.947859,-9.787537,-1.660307,1.044925,-9.798554,-1.663789,1.133034,-9.805550,-1.667858,1.221431,-9.798125,-1.673466,1.349166,-9.771687,-1.677144,1.437668,-9.799657,-1.701171,1.291552,-9.792710,-1.839604,1.271050,-9.769560,-1.855240,1.052953,-9.731573,-1.880218,0.855541,-9.803769,-1.640729,1.294444,-9.813249,-1.501706,1.279790,-9.792348,-1.470911,1.063086,-9.775283,-1.446065,0.862573,-9.751564,-1.729364,0.862522,-9.797187,-1.727826,0.485068,-9.837231,-1.727893,0.085889,-9.677904,-1.741147,0.011233,-9.761345,-1.583038,0.862334,-9.790159,-1.579319,0.483307,-9.837165,-1.570667,0.085263,-9.678539,-1.562647,0.008857,0.010536,-0.009431,0.000991
