pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
1.749950,9.361419,1.018539,1.748610,9.355409,1.122992,1.745415,9.341743,1.235929,1.741969,9.342349,1.339829,1.737871,9.345164,1.443552,1.731079,9.335737,1.594876,1.730097,9.308198,1.703332,1.696078,9.339961,1.526920,1.520957,9.338944,1.489775,1.518233,9.327429,1.218079,1.484268,9.276554,0.948397,1.772147,9.339552,1.530309,1.948932,9.342228,1.502236,1.966378,9.331511,1.231054,1.993981,9.265650,0.963902,1.663062,9.363036,1.018396,1.650313,9.365062,0.584820,1.638779,9.376781,0.103138,1.651575,9.191124,0.023667,1.836815,9.359703,1.020387,1.862668,9.372483,0.587577,1.894299,9.371304,0.106654,1.929290,9.193676,0.018080,0.026229,-0.004522,-0.001506
1.750661,9.361377,1.018454,1.749243,9.355464,1.122911,1.746028,9.341882,1.235858,1.742586,9.342559,1.339757,1.738517,9.345436,1.443480,1.731792,9.336093,1.594811,1.730819,9.308570,1.703272,1.696734,9.340296,1.526839,1.521591,9.339321,1.489794,1.519098,9.327839,1.218094,1.485348,9.277148,0.948351,1.772803,9.339871,1.530194,1.949608,9.342510,1.502248,1.967070,9.331634,1.231073,1.994932,9.265952,0.963904,1.663772,9.362924,1.018240,1.650722,9.365199,0.584674,1.638965,9.376702,0.102992,1.651785,9.191135,0.023317,1.837526,9.359732,1.020372,1.863104,9.372642,0.587551,1.894946,9.371505,0.106643,1.929926,9.193783,0.018211,0.028010,-0.004032,-0.001983
1.751372,9.361334,1.018368,1.749876,9.355518,1.122829,1.746642,9.342021,1.235786,1.743203,9.342768,1.339685,1.739162,9.345709,1.443407,1.732504,9.336450,1.594747,1.731540,9.308942,1.703211,1.697389,9.340630,1.526759,1.522225,9.339699,1.489813,1.519963,9.328250,1.218110,1.486429,9.277743,0.948304,1.773459,9.340189,1.530079,1.950285,9.342792,1.502260,1.967762,9.331757,1.231093,1.995883,9.266254,0.963906,1.664483,9.362812,1.018084,1.651131,9.365337,0.584528,1.639151,9.376623,0.102846,1.651996,9.191145,0.022967,1.838237,9.359761,1.020358,1.863541,9.372800,0.587526,1.895593,9.371706,0.106633,1.930562,9.193890,0.018342,0.029792,-0.003543,-0.002460
1.752069,9.361291,1.018275,1.750511,9.355570,1.122740,1.747263,9.342151,1.235706,1.743828,9.342961,1.339604,1.739813,9.345954,1.443326,1.733210,9.336762,1.594672,1.732251,9.309264,1.703139,1.698054,9.340926,1.526667,1.522871,9.340044,1.489809,1.520830,9.328635,1.218102,1.487446,9.278365,0.948234,1.774125,9.340467,1.529958,1.950970,9.343020,1.502259,1.968461,9.331875,1.231097,1.996864,9.266640,0.963874,1.665180,9.362705,1.017934,1.651504,9.365405,0.584390,1.639246,9.376558,0.102712,1.652108,9.191134,0.022710,1.838934,9.359783,1.020322,1.863910,9.372923,0.587474,1.896066,9.371873,0.106589,1.931012,9.193972,0.018422,0.031000,-0.003655,-0.003031
1.752712,9.361267,1.018188,1.751122,9.355630,1.122657,1.747872,9.342278,1.235631,1.744448,9.343137,1.339529,1.740457,9.346170,1.443251,1.733900,9.337025,1.594602,1.732941,9.309525,1.703068,1.698730,9.341178,1.526572,1.523531,9.340357,1.489785,1.521707,9.328987,1.218074,1.488369,9.279039,0.948141,1.774801,9.340696,1.529838,1.951664,9.343177,1.502248,1.969152,9.331981,1.231088,1.997883,9.267150,0.963802,1.665822,9.362629,1.017818,1.651805,9.365465,0.584286,1.639177,9.376482,0.102616,1.652075,9.191092,0.022539,1.839576,9.359813,1.020266,1.864129,9.373059,0.587398,1.896205,9.371961,0.106507,1.931139,9.194028,0.018390,0.030910,-0.004622,-0.004104
1.753341,9.361242,1.018093,1.751734,9.355689,1.122567,1.748489,9.342395,1.235547,1.745076,9.343296,1.339446,1.741105,9.346359,1.443167,1.734584,9.337243,1.594522,1.733619,9.309735,1.702986,1.699414,9.341391,1.526466,1.524203,9.340638,1.489738,1.522587,9.329313,1.218023,1.489228,9.279740,0.948023,1.775487,9.340885,1.529713,1.952367,9.343281,1.502224,1.969850,9.332081,1.231063,1.998933,9.267745,0.963696,1.666450,9.362559,1.017707,1.652070,9.365456,0.584190,1.639017,9.376421,0.102532,1.651944,9.191029,0.022461,1.840205,9.359836,1.020189,1.864281,9.373159,0.587296,1.896170,9.372015,0.106393,1.931080,9.194058,0.018307,0.030247,-0.006191,-0.005270
1.754060,9.361152,1.017939,1.752428,9.355709,1.122418,1.749175,9.342481,1.235406,1.745760,9.343421,1.339304,1.741796,9.346501,1.443025,1.735287,9.337387,1.594380,1.734308,9.309873,1.702843,1.700117,9.341546,1.526316,1.524896,9.340857,1.489637,1.523451,9.329609,1.217918,1.490048,9.280424,0.947852,1.776190,9.341014,1.529556,1.953087,9.343333,1.502169,1.970614,9.332194,1.231009,2.000017,9.268392,0.963548,1.667169,9.362426,1.017530,1.652374,9.365119,0.584027,1.638888,9.376465,0.102393,1.651756,9.190958,0.022585,1.840924,9.359791,1.020058,1.864538,9.373046,0.587138,1.896267,9.372137,0.106224,1.931056,9.194042,0.018310,0.030606,-0.008196,-0.005403
1.754933,9.360966,1.017674,1.753267,9.355675,1.122160,1.749986,9.342527,1.235157,1.746549,9.343505,1.339054,1.742567,9.346589,1.442774,1.736033,9.337442,1.594126,1.735020,9.309929,1.702589,1.700857,9.341638,1.526085,1.525628,9.341015,1.489441,1.524287,9.329889,1.217717,1.490820,9.281090,0.947589,1.776929,9.341077,1.529336,1.953843,9.343318,1.502053,1.971486,9.332318,1.230894,2.001151,9.269084,0.963327,1.668043,9.362201,1.017232,1.652759,9.364326,0.583743,1.638899,9.376654,0.102142,1.651568,9.190857,0.022984,1.841797,9.359644,1.019826,1.864956,9.372772,0.586875,1.896648,9.372360,0.105954,1.931128,9.193950,0.018419,0.032903,-0.010511,-0.003602
1.755898,9.360714,1.017350,1.754188,9.355602,1.121845,1.750866,9.342540,1.234850,1.747394,9.343554,1.338746,1.743381,9.346630,1.442465,1.736798,9.337423,1.593811,1.735742,9.309913,1.702274,1.701616,9.341671,1.525811,1.526382,9.341111,1.489191,1.525106,9.330139,1.217461,1.491554,9.281739,0.947272,1.777686,9.341080,1.529084,1.954616,9.343251,1.501904,1.972423,9.332454,1.230748,2.002319,9.269828,0.963065,1.669007,9.361914,1.016866,1.653182,9.363206,0.583391,1.638941,9.376949,0.101837,1.651323,9.190748,0.023585,1.842762,9.359430,1.019541,1.865479,9.372284,0.586555,1.897161,9.372652,0.105630,1.931234,9.193811,0.018614,0.036222,-0.013262,-0.000767
1.756865,9.360427,1.017069,1.755085,9.355499,1.121572,1.751711,9.342522,1.234585,1.748200,9.343566,1.338479,1.744157,9.346626,1.442198,1.737539,9.337345,1.593538,1.736454,9.309836,1.702001,1.702348,9.341635,1.525577,1.527109,9.341115,1.488981,1.525929,9.330317,1.217243,1.492302,9.282338,0.946989,1.778417,9.341028,1.528866,1.955363,9.343176,1.501799,1.973352,9.332625,1.230645,2.003477,9.270607,0.962846,1.669975,9.361581,1.016521,1.653585,9.361890,0.583065,1.638811,9.377322,0.101578,1.650897,9.190706,0.024274,1.843729,9.359191,1.019323,1.866118,9.371248,0.586298,1.897658,9.373017,0.105369,1.931407,9.193689,0.018976,0.039407,-0.016668,0.001521
