pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
0.475708,3.783179,0.884210,0.475766,3.775749,0.975935,0.482613,3.784467,1.075954,0.488391,3.785682,1.167650,0.495923,3.789281,1.259054,0.511936,3.809691,1.386447,0.540151,3.845214,1.470675,0.532897,3.792690,1.328189,0.660464,3.753011,1.298396,0.671454,3.771526,1.060235,0.651503,3.816617,0.844160,0.476574,3.808546,1.332731,0.346424,3.848876,1.319731,0.346617,3.886032,1.083499,0.375968,3.922487,0.866863,0.549594,3.767182,0.883151,0.577831,3.794691,0.493740,0.577944,3.753461,0.087239,0.661884,3.891595,0.026992,0.401826,3.799136,0.885763,0.405053,3.890692,0.505235,0.351917,3.796481,0.111228,0.419075,3.934361,0.032262,0.033202,0.010872,-0.000589
0.475573,3.783800,0.884361,0.475564,3.776296,0.976080,0.482243,3.784986,1.076112,0.487929,3.786177,1.167816,0.495359,3.789770,1.259228,0.511084,3.810229,1.386650,0.538651,3.845953,1.471004,0.532322,3.793530,1.328483,0.660419,3.755490,1.298910,0.671858,3.774214,1.060785,0.651688,3.818614,0.844588,0.475839,3.808792,1.333006,0.345205,3.847450,1.319976,0.345065,3.884200,1.083683,0.375117,3.921158,0.867232,0.549543,3.768206,0.883375,0.577409,3.794363,0.493841,0.578016,3.753570,0.087294,0.661948,3.891685,0.026992,0.401604,3.799353,0.885837,0.404904,3.891030,0.505309,0.348515,3.802173,0.110509,0.420772,3.939579,0.035772,0.024905,0.043172,0.005221
0.475439,3.784422,0.884511,0.475361,3.776843,0.976225,0.481872,3.785506,1.076271,0.487467,3.786672,1.167981,0.494795,3.790259,1.259403,0.510231,3.810767,1.386853,0.537151,3.846692,1.471332,0.531747,3.794370,1.328778,0.660374,3.757970,1.299425,0.672261,3.776902,1.061336,0.651873,3.820611,0.845017,0.475105,3.809038,1.333281,0.343986,3.846023,1.320220,0.343514,3.882368,1.083867,0.374267,3.919830,0.867601,0.549492,3.769230,0.883599,0.576987,3.794035,0.493941,0.578088,3.753679,0.087349,0.662012,3.891774,0.026992,0.401382,3.799570,0.885910,0.404754,3.891369,0.505384,0.345112,3.807865,0.109791,0.422470,3.944797,0.039281,0.016609,0.075471,0.011031
0.475290,3.785555,0.884607,0.475069,3.777881,0.976312,0.481332,3.786438,1.076382,0.486739,3.787488,1.168104,0.493862,3.790957,1.259545,0.508884,3.811326,1.387065,0.535131,3.847327,1.471725,0.530707,3.795244,1.329052,0.659796,3.760206,1.300016,0.672231,3.779707,1.062004,0.652034,3.822746,0.845534,0.473931,3.809422,1.333479,0.342423,3.845003,1.320285,0.341803,3.881046,1.083887,0.373455,3.919083,0.867855,0.549405,3.770659,0.883817,0.576463,3.793493,0.494014,0.578152,3.753779,0.087360,0.662075,3.891837,0.026916,0.401168,3.800406,0.885881,0.403786,3.890207,0.504927,0.342944,3.814323,0.108083,0.423130,3.951608,0.041151,0.008127,0.104385,0.010387
0.475132,3.787569,0.884642,0.474653,3.779767,0.976335,0.480544,3.788078,1.076448,0.485614,3.788853,1.168190,0.492373,3.792004,1.259669,0.506780,3.811907,1.387330,0.532308,3.847780,1.472263,0.528973,3.796180,1.329330,0.658440,3.762134,1.300776,0.671537,3.782783,1.062900,0.652160,3.825078,0.846210,0.472098,3.810012,1.333594,0.340325,3.844530,1.320162,0.339785,3.880409,1.083739,0.372680,3.919251,0.868042,0.549269,3.772774,0.884047,0.575836,3.792748,0.494056,0.578182,3.753859,0.087323,0.662128,3.891856,0.026768,0.400984,3.802320,0.885722,0.401461,3.886011,0.503494,0.343012,3.822964,0.104405,0.422102,3.962253,0.040399,-0.001375,0.130552,-0.004103
0.474959,3.790094,0.884623,0.474147,3.782145,0.976300,0.479586,3.790131,1.076466,0.484223,3.790539,1.168234,0.490516,3.793261,1.259760,0.504182,3.812509,1.387604,0.528964,3.848129,1.472864,0.526775,3.797149,1.329589,0.656551,3.763818,1.301612,0.670410,3.785977,1.063913,0.652263,3.827548,0.846974,0.469825,3.810739,1.333631,0.337883,3.844464,1.319860,0.337608,3.880282,1.083427,0.371943,3.920001,0.868114,0.549097,3.775294,0.884270,0.575107,3.791789,0.494071,0.578205,3.753932,0.087242,0.662179,3.891848,0.026544,0.400807,3.804853,0.885461,0.398316,3.880314,0.501529,0.344314,3.832372,0.099738,0.420036,3.974489,0.038007,-0.011063,0.153333,-0.025048
0.474738,3.792533,0.884507,0.473571,3.784437,0.976169,0.478523,3.792119,1.076384,0.482694,3.792188,1.168175,0.488483,3.794513,1.259747,0.501378,3.813156,1.387763,0.525425,3.848501,1.473347,0.524331,3.798103,1.329742,0.654337,3.765202,1.302327,0.669099,3.788941,1.064833,0.652354,3.830113,0.847705,0.467326,3.811536,1.333529,0.335322,3.844783,1.319222,0.335555,3.880654,1.082798,0.371288,3.920910,0.867807,0.548887,3.777782,0.884425,0.574174,3.790364,0.494038,0.578297,3.754020,0.087088,0.662252,3.891844,0.026156,0.400575,3.807243,0.885078,0.395143,3.876210,0.499840,0.345077,3.839067,0.096039,0.417853,3.983181,0.035281,-0.018621,0.167423,-0.036730
0.474501,3.794680,0.884215,0.472918,3.786454,0.975857,0.477334,3.793893,1.076115,0.481001,3.793693,1.167927,0.486263,3.795707,1.259538,0.498387,3.813869,1.387698,0.521756,3.848937,1.473586,0.521608,3.799013,1.329680,0.651719,3.766132,1.302730,0.667657,3.791561,1.065495,0.652529,3.832872,0.848279,0.464572,3.812405,1.333179,0.332657,3.845636,1.318032,0.333662,3.881606,1.081622,0.370880,3.921942,0.866897,0.548680,3.780098,0.884466,0.572954,3.788181,0.493917,0.578498,3.754145,0.086797,0.662364,3.891854,0.025487,0.400308,3.809222,0.884455,0.391977,3.875227,0.498710,0.344430,3.840806,0.094205,0.415564,3.985283,0.032355,-0.023990,0.168113,-0.029582
0.474216,3.796741,0.883826,0.472195,3.788386,0.975449,0.476041,3.795603,1.075746,0.479170,3.795160,1.167577,0.483868,3.796896,1.259224,0.495190,3.814627,1.387518,0.517891,3.849397,1.473706,0.518640,3.799908,1.329513,0.648775,3.766763,1.303012,0.666031,3.793951,1.066063,0.652692,3.835726,0.848819,0.461591,3.813344,1.332691,0.329874,3.846874,1.316505,0.331894,3.883056,1.080130,0.370555,3.923132,0.865608,0.548436,3.782383,0.884438,0.571529,3.785534,0.493750,0.578767,3.754285,0.086435,0.662497,3.891867,0.024653,0.399987,3.811059,0.883711,0.388782,3.875837,0.497855,0.343243,3.839832,0.093341,0.413157,3.983840,0.029095,-0.027228,0.160112,-0.013171
0.473762,3.798727,0.883546,0.471433,3.790221,0.975148,0.474773,3.797218,1.075480,0.477396,3.796548,1.167327,0.481532,3.798031,1.259005,0.492011,3.815381,1.387423,0.513963,3.849894,1.473906,0.515749,3.800831,1.329487,0.645945,3.767501,1.303535,0.664324,3.796107,1.066829,0.652568,3.838336,0.849575,0.458683,3.814271,1.332327,0.327149,3.848036,1.315133,0.330434,3.884752,1.078858,0.369858,3.924174,0.864355,0.548030,3.784624,0.884410,0.570043,3.783049,0.493639,0.579057,3.754406,0.086162,0.662615,3.891885,0.023918,0.399488,3.812789,0.883180,0.386234,3.876554,0.497235,0.342350,3.839405,0.092715,0.411510,3.982846,0.026398,-0.026193,0.152238,-0.000482
