pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
6.341112,-2.195859,0.937070,6.341934,-2.196855,1.033123,6.336849,-2.197033,1.138349,6.344334,-2.197736,1.234247,6.354100,-2.198363,1.329833,6.356442,-2.198305,1.465956,6.328706,-2.195501,1.559007,6.357188,-2.167655,1.406085,6.370173,-2.025615,1.390684,6.339842,-2.004866,1.129804,6.300009,-1.980393,0.914344,6.353382,-2.229073,1.406174,6.352504,-2.370980,1.385114,6.312835,-2.400150,1.126298,6.260979,-2.422909,0.913220,6.346069,-2.117182,0.938065,6.373345,-2.125436,0.531712,6.414309,-2.139682,0.089228,6.255550,-2.108131,0.017555,6.336154,-2.274534,0.936492,6.380046,-2.273585,0.531515,6.416185,-2.276391,0.088393,6.256872,-2.250596,0.015654,-0.056702,0.076764,0.008891
6.341134,-2.195999,0.937063,6.341963,-2.196980,1.033116,6.336887,-2.197176,1.138342,6.344382,-2.197918,1.234240,6.354159,-2.198601,1.329824,6.356520,-2.198629,1.465947,6.328715,-2.195810,1.558977,6.357285,-2.167921,1.406093,6.370447,-2.025885,1.390805,6.340236,-2.004941,1.129927,6.300719,-1.980083,0.914453,6.353423,-2.229334,1.406146,6.352448,-2.371239,1.385076,6.312648,-2.400248,1.126263,6.259385,-2.422470,0.913483,6.346125,-2.117325,0.938045,6.372993,-2.126049,0.531675,6.414655,-2.140123,0.089251,6.255880,-2.108585,0.017608,6.336145,-2.274673,0.936498,6.380552,-2.273829,0.531578,6.416694,-2.276308,0.088455,6.257389,-2.250468,0.015713,-0.056195,0.075321,0.008667
6.341157,-2.196140,0.937056,6.341991,-2.197106,1.033109,6.336926,-2.197319,1.138336,6.344431,-2.198100,1.234232,6.354219,-2.198839,1.329815,6.356597,-2.198953,1.465938,6.328724,-2.196120,1.558947,6.357381,-2.168187,1.406102,6.370720,-2.026155,1.390927,6.340630,-2.005015,1.130050,6.301429,-1.979774,0.914562,6.353464,-2.229596,1.406117,6.352391,-2.371497,1.385037,6.312460,-2.400347,1.126227,6.257790,-2.422032,0.913747,6.346180,-2.117469,0.938024,6.372641,-2.126662,0.531637,6.415001,-2.140565,0.089274,6.256209,-2.109038,0.017660,6.336136,-2.274812,0.936504,6.381058,-2.274073,0.531642,6.417203,-2.276225,0.088518,6.257907,-2.250340,0.015772,-0.055688,0.073878,0.008443
6.341146,-2.196269,0.937053,6.341994,-2.197224,1.033106,6.336938,-2.197450,1.138333,6.344450,-2.198264,1.234229,6.354243,-2.199048,1.329811,6.356626,-2.199228,1.465933,6.328693,-2.196380,1.558924,6.357442,-2.168421,1.406114,6.370969,-2.026397,1.391029,6.340974,-2.005039,1.130158,6.302022,-1.979451,0.914665,6.353460,-2.229825,1.406102,6.352258,-2.371728,1.385042,6.312230,-2.400466,1.126234,6.256275,-2.421656,0.914034,6.346199,-2.117601,0.938011,6.372268,-2.127179,0.531607,6.415248,-2.140892,0.089296,6.256438,-2.109380,0.017718,6.336097,-2.274940,0.936510,6.381426,-2.274281,0.531694,6.417569,-2.276159,0.088568,6.258274,-2.250235,0.015834,-0.054967,0.072695,0.008206
6.341084,-2.196380,0.937057,6.341958,-2.197332,1.033110,6.336913,-2.197564,1.138337,6.344426,-2.198398,1.234233,6.354212,-2.199212,1.329815,6.356579,-2.199424,1.465938,6.328595,-2.196560,1.558913,6.357447,-2.168604,1.406135,6.371181,-2.026594,1.391102,6.341251,-2.004978,1.130245,6.302440,-1.979103,0.914760,6.353383,-2.230002,1.406110,6.352006,-2.371915,1.385122,6.311950,-2.400624,1.126316,6.254852,-2.421364,0.914375,6.346162,-2.117715,0.938010,6.371845,-2.127543,0.531587,6.415331,-2.141030,0.089318,6.256497,-2.109537,0.017785,6.336011,-2.275050,0.936519,6.381557,-2.274431,0.531726,6.417696,-2.276122,0.088600,6.258390,-2.250168,0.015903,-0.053834,0.072097,0.007961
6.340990,-2.196481,0.937065,6.341896,-2.197434,1.033117,6.336862,-2.197666,1.138345,6.344372,-2.198514,1.234241,6.354145,-2.199346,1.329824,6.356485,-2.199570,1.465947,6.328458,-2.196690,1.558909,6.357416,-2.168755,1.406161,6.371368,-2.026763,1.391155,6.341479,-2.004866,1.130317,6.302742,-1.978742,0.914850,6.353260,-2.230148,1.406131,6.351677,-2.372073,1.385246,6.311627,-2.400803,1.126441,6.253509,-2.421135,0.914740,6.346088,-2.117816,0.938017,6.371400,-2.127811,0.531574,6.415316,-2.141055,0.089341,6.256456,-2.109581,0.017857,6.335896,-2.275150,0.936528,6.381550,-2.274544,0.531747,6.417681,-2.276102,0.088619,6.258354,-2.250125,0.015974,-0.052486,0.071758,0.007703
6.340884,-2.196579,0.937069,6.341814,-2.197533,1.033121,6.336786,-2.197765,1.138350,6.344296,-2.198625,1.234245,6.354060,-2.199474,1.329829,6.356380,-2.199706,1.465953,6.328323,-2.196811,1.558905,6.357371,-2.168898,1.406178,6.371545,-2.026925,1.391196,6.341661,-2.004759,1.130380,6.302979,-1.978384,0.914933,6.353123,-2.230284,1.406146,6.351325,-2.372221,1.385357,6.311243,-2.400974,1.126560,6.252289,-2.420965,0.915057,6.345997,-2.117915,0.938020,6.370996,-2.128053,0.531562,6.415303,-2.141074,0.089360,6.256416,-2.109620,0.017928,6.335774,-2.275247,0.936532,6.381564,-2.274647,0.531767,6.417664,-2.276084,0.088636,6.258318,-2.250086,0.016041,-0.051301,0.070958,0.007401
6.340773,-2.196679,0.937066,6.341711,-2.197632,1.033119,6.336687,-2.197865,1.138347,6.344196,-2.198737,1.234243,6.353959,-2.199603,1.329827,6.356276,-2.199844,1.465950,6.328202,-2.196938,1.558897,6.357318,-2.169039,1.406183,6.371722,-2.027087,1.391224,6.341790,-2.004665,1.130435,6.303164,-1.978021,0.915012,6.352980,-2.230419,1.406148,6.350958,-2.372365,1.385439,6.310777,-2.401148,1.126661,6.251190,-2.420864,0.915307,6.345893,-2.118015,0.938016,6.370666,-2.128290,0.531548,6.415328,-2.141121,0.089376,6.256412,-2.109686,0.017998,6.335657,-2.275346,0.936531,6.381661,-2.274746,0.531790,6.417694,-2.276062,0.088653,6.258331,-2.250047,0.016102,-0.050471,0.069312,0.006937
6.340651,-2.196776,0.937060,6.341587,-2.197729,1.033113,6.336563,-2.197962,1.138341,6.344074,-2.198844,1.234236,6.353839,-2.199725,1.329820,6.356162,-2.199973,1.465944,6.328084,-2.197057,1.558889,6.357250,-2.169172,1.406180,6.371888,-2.027242,1.391240,6.341873,-2.004575,1.130482,6.303285,-1.977662,0.915085,6.352822,-2.230545,1.406144,6.350568,-2.372498,1.385508,6.310250,-2.401314,1.126755,6.250212,-2.420822,0.915511,6.345772,-2.118112,0.938010,6.370376,-2.128501,0.531534,6.415354,-2.141164,0.089390,6.256410,-2.109746,0.018067,6.335534,-2.275444,0.936525,6.381779,-2.274835,0.531811,6.417723,-2.276041,0.088667,6.258343,-2.250013,0.016158,-0.049803,0.067205,0.006429
6.340517,-2.196867,0.937051,6.341446,-2.197820,1.033104,6.336423,-2.198053,1.138332,6.343937,-2.198946,1.234227,6.353709,-2.199842,1.329810,6.356045,-2.200099,1.465933,6.327969,-2.197165,1.558878,6.357172,-2.169300,1.406172,6.372028,-2.027391,1.391250,6.341925,-2.004515,1.130521,6.303358,-1.977354,0.915151,6.352658,-2.230667,1.406134,6.350182,-2.372625,1.385563,6.309710,-2.401405,1.126830,6.249402,-2.420804,0.915654,6.345639,-2.118203,0.938001,6.370085,-2.128689,0.531518,6.415378,-2.141203,0.089402,6.256407,-2.109804,0.018131,6.335399,-2.275534,0.936515,6.381891,-2.274929,0.531830,6.417752,-2.276023,0.088679,6.258355,-2.249980,0.016211,-0.049099,0.065066,0.006202
