pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z,vel_x,vel_y,vel_z
-9.307077,2.831202,0.975681,-9.300828,2.827942,1.075385,-9.290315,2.820719,1.184539,-9.292219,2.820493,1.284865,-9.296872,2.821315,1.384986,-9.293843,2.816230,1.526429,-9.273599,2.805116,1.621112,-9.311055,2.791017,1.463516,-9.380565,2.663145,1.436264,-9.387060,2.660799,1.153372,-9.375533,2.663276,0.914187,-9.278983,2.845750,1.464794,-9.204785,2.971213,1.438736,-9.188343,2.979693,1.156362,-9.174991,2.985411,0.917325,-9.350430,2.761655,0.976318,-9.373265,2.763242,0.554218,-9.398869,2.771228,0.095147,-9.264420,2.687093,0.018012,-9.263703,2.900737,0.975387,-9.306169,2.919139,0.555208,-9.340991,2.934886,0.096945,-9.190054,2.892673,0.017409,0.029441,-0.007572,-0.006512
-9.306715,2.831427,0.975275,-9.300537,2.828099,1.074982,-9.290049,2.820870,1.184138,-9.291969,2.820643,1.284463,-9.296621,2.821484,1.384584,-9.293563,2.816467,1.526029,-9.273275,2.805454,1.620714,-9.310764,2.791211,1.463198,-9.380071,2.663187,1.436142,-9.386702,2.660642,1.153255,-9.375505,2.663111,0.914055,-9.278764,2.845987,1.464447,-9.204768,2.971618,1.438622,-9.188228,2.980311,1.156261,-9.174663,2.986304,0.917244,-9.349904,2.761779,0.975819,-9.373465,2.762523,0.553757,-9.398659,2.771543,0.094685,-9.264356,2.687611,0.017527,-9.263503,2.901063,0.975071,-9.305647,2.920105,0.554887,-9.340622,2.934883,0.096603,-9.189596,2.892538,0.017307,0.027936,-0.006328,-0.007937
-9.306352,2.831652,0.974869,-9.300246,2.828256,1.074578,-9.289784,2.821021,1.183736,-9.291720,2.820792,1.284061,-9.296370,2.821653,1.384182,-9.293282,2.816703,1.525628,-9.272951,2.805791,1.620316,-9.310473,2.791405,1.462880,-9.379578,2.663230,1.436020,-9.386344,2.660485,1.153138,-9.375477,2.662946,0.913922,-9.278545,2.846225,1.464101,-9.204751,2.972023,1.438508,-9.188114,2.980929,1.156161,-9.174335,2.987197,0.917163,-9.349378,2.761904,0.975320,-9.373664,2.761803,0.553297,-9.398450,2.771858,0.094222,-9.264293,2.688129,0.017041,-9.263303,2.901388,0.974755,-9.305125,2.921072,0.554565,-9.340253,2.934879,0.096261,-9.189139,2.892402,0.017206,0.026431,-0.005084,-0.009362
-9.306006,2.831838,0.974541,-9.299967,2.828401,1.074252,-9.289526,2.821175,1.183413,-9.291475,2.820955,1.283738,-9.296123,2.821840,1.383859,-9.293003,2.816959,1.525307,-9.272631,2.806138,1.619996,-9.310180,2.791616,1.462620,-9.379091,2.663300,1.435936,-9.385996,2.660356,1.153060,-9.375450,2.662795,0.913829,-9.278321,2.846478,1.463810,-9.204716,2.972430,1.438432,-9.188005,2.981581,1.156098,-9.174043,2.988076,0.917118,-9.348891,2.762003,0.974922,-9.373783,2.761148,0.552933,-9.398291,2.772079,0.093860,-9.264252,2.688492,0.016653,-9.263100,2.901662,0.974494,-9.304667,2.921890,0.554303,-9.340012,2.934897,0.095989,-9.188817,2.892306,0.017138,0.025674,-0.004937,-0.009692
-9.305689,2.831965,0.974334,-9.299709,2.828527,1.074049,-9.289286,2.821331,1.183213,-9.291243,2.821135,1.283538,-9.295882,2.822052,1.383659,-9.292725,2.817238,1.525109,-9.272315,2.806492,1.619798,-9.309882,2.791849,1.462447,-9.378611,2.663405,1.435906,-9.385663,2.660262,1.153036,-9.375435,2.662663,0.913791,-9.278089,2.846749,1.463606,-9.204656,2.972841,1.438418,-9.187898,2.982299,1.156097,-9.173787,2.988936,0.917130,-9.348469,2.762065,0.974680,-9.373786,2.760584,0.552718,-9.398211,2.772143,0.093657,-9.264251,2.688599,0.016418,-9.262888,2.901854,0.974321,-9.304326,2.922483,0.554135,-9.339987,2.934953,0.095830,-9.188720,2.892276,0.017127,0.026363,-0.007083,-0.008009
-9.305390,2.832054,0.974204,-9.299463,2.828641,1.073923,-9.289055,2.821491,1.183092,-9.291016,2.821328,1.283417,-9.295645,2.822281,1.383538,-9.292449,2.817536,1.524989,-9.272002,2.806854,1.619678,-9.309582,2.792100,1.462332,-9.378138,2.663538,1.435914,-9.385339,2.660195,1.153050,-9.375422,2.662544,0.913791,-9.277852,2.847036,1.463458,-9.204579,2.973255,1.438442,-9.187798,2.983050,1.156135,-9.173568,2.989781,0.917177,-9.348086,2.762102,0.974539,-9.373707,2.760084,0.552600,-9.398181,2.772114,0.093556,-9.264273,2.688552,0.016280,-9.262673,2.901994,0.974204,-9.304050,2.922926,0.554027,-9.340089,2.935032,0.095742,-9.188758,2.892286,0.017149,0.027800,-0.010325,-0.005230
-9.305088,2.832130,0.974099,-9.299208,2.828750,1.073822,-9.288814,2.821653,1.182995,-9.290781,2.821532,1.283320,-9.295404,2.822528,1.383441,-9.292178,2.817860,1.524894,-9.271695,2.807244,1.619583,-9.309286,2.792372,1.462243,-9.377684,2.663701,1.435951,-9.385018,2.660160,1.153093,-9.375376,2.662439,0.913822,-9.277613,2.847343,1.463335,-9.204481,2.973674,1.438474,-9.187718,2.983771,1.156176,-9.173422,2.990612,0.917225,-9.347698,2.762125,0.974431,-9.373572,2.759625,0.552510,-9.398156,2.772084,0.093485,-9.264290,2.688501,0.016175,-9.262458,2.902123,0.974102,-9.303749,2.923298,0.553929,-9.340181,2.935111,0.095667,-9.188796,2.892295,0.017172,0.028642,-0.012175,-0.003021
-9.304770,2.832190,0.974008,-9.298936,2.828850,1.073735,-9.288558,2.821816,1.182914,-9.290536,2.821744,1.283239,-9.295158,2.822794,1.383359,-9.291913,2.818216,1.524814,-9.271397,2.807676,1.619504,-9.308994,2.792671,1.462180,-9.377254,2.663898,1.436026,-9.384702,2.660161,1.153174,-9.375283,2.662349,0.913893,-9.277375,2.847673,1.463234,-9.204359,2.974098,1.438511,-9.187672,2.984440,1.156217,-9.173371,2.991431,0.917271,-9.347282,2.762125,0.974341,-9.373366,2.759199,0.552437,-9.398120,2.772085,0.093433,-9.264291,2.688498,0.016088,-9.262238,2.902242,0.974010,-9.303369,2.923601,0.553830,-9.340213,2.935185,0.095594,-9.188787,2.892289,0.017186,0.028289,-0.011227,-0.001750
-9.304449,2.832236,0.973941,-9.298655,2.828945,1.073671,-9.288292,2.821982,1.182857,-9.290282,2.821967,1.283181,-9.294908,2.823076,1.383300,-9.291652,2.818598,1.524759,-9.271104,2.808134,1.619450,-9.308706,2.792991,1.462143,-9.376844,2.664126,1.436131,-9.384389,2.660193,1.153283,-9.375159,2.662273,0.913994,-9.277135,2.848022,1.463159,-9.204217,2.974527,1.438554,-9.187647,2.985079,1.156262,-9.173393,2.992236,0.917318,-9.346861,2.762111,0.974283,-9.373102,2.758812,0.552392,-9.398089,2.772086,0.093412,-9.264286,2.688491,0.016033,-9.262018,2.902350,0.973933,-9.302965,2.923833,0.553741,-9.340235,2.935260,0.095536,-9.188778,2.892283,0.017200,0.027340,-0.008886,-0.001048
-9.304147,2.832308,0.973873,-9.298375,2.829059,1.073606,-9.288020,2.822163,1.182796,-9.290019,2.822203,1.283121,-9.294650,2.823371,1.383239,-9.291392,2.818990,1.524701,-9.270814,2.808599,1.619393,-9.308420,2.793325,1.462102,-9.376443,2.664371,1.436227,-9.384064,2.660240,1.153384,-9.375012,2.662212,0.914088,-9.276896,2.848382,1.463081,-9.204067,2.974960,1.438582,-9.187616,2.985690,1.156289,-9.173460,2.993019,0.917345,-9.346461,2.762123,0.974229,-9.372840,2.758467,0.552349,-9.398064,2.772092,0.093393,-9.264281,2.688485,0.015991,-9.261816,2.902481,0.973852,-9.302612,2.924067,0.553650,-9.340258,2.935328,0.095471,-9.188771,2.892277,0.017207,0.026244,-0.006873,-0.001464
